question_id,related_question_id,jaccard_distance,length_difference,cosine_similarity,bigram_similarity,w2v_cosine_similarity,relevance
243370002625,243370002625_R251489590585,0.948,1071,0.947,0.996,0.259,Irrelevant
243370002625,243370002625_R114510184074,0.889,849,0.964,1.0,0.353,Irrelevant
243370002625,243370002625_R263839409736,0.927,1080,0.94,1.0,0.14,Irrelevant
243370002625,243370002625_R518094603106,0.894,874,0.963,0.98,0.186,Irrelevant
243370002625,243370002625_R131046786369,0.931,826,0.95,0.984,0.273,Irrelevant
243370002625,243370002625_R980177132532,0.895,202,0.971,0.985,0.198,Irrelevant
243370002625,243370002625_R309217362387,0.971,1125,0.933,0.996,0.197,Irrelevant
243370002625,243370002625_R566568105181,0.922,767,0.959,0.994,0.134,Irrelevant
243370002625,243370002625_R280507310888,0.944,1042,0.96,1.0,0.407,Irrelevant
243370002625,243370002625_R130176788619,0.865,76,0.969,0.985,0.345,Irrelevant
491852069473,491852069473_R556022090081,0.932,884,0.937,0.995,0.308,Irrelevant
491852069473,491852069473_R144006552232,0.895,662,0.969,0.989,0.19,Irrelevant
491852069473,491852069473_R191865497733,0.906,893,0.962,1.0,0.331,Irrelevant
491852069473,491852069473_R124888377545,0.86,687,0.975,0.976,0.308,Irrelevant
491852069473,491852069473_R238863129848,0.893,639,0.96,0.992,0.281,Irrelevant
491852069473,491852069473_R212679835512,0.901,15,0.973,0.986,0.103,Irrelevant
491852069473,491852069473_R383842861884,0.955,938,0.918,0.995,0.048,Irrelevant
491852069473,491852069473_R147822772135,0.897,580,0.963,0.996,0.119,Irrelevant
491852069473,491852069473_R237231532851,0.912,855,0.957,0.995,0.353,Irrelevant
491852069473,491852069473_R477808049492,0.861,263,0.975,0.976,0.185,Irrelevant
302016103274,302016103274_R222428154496,0.902,60,0.936,0.984,0.293,Irrelevant
302016103274,302016103274_R127622094183,0.866,162,0.966,1.0,0.405,Irrelevant
302016103274,302016103274_R313726609769,0.839,69,0.956,0.986,0.309,Irrelevant
302016103274,302016103274_R177151718982,0.852,137,0.963,0.981,0.443,Irrelevant
302016103274,302016103274_R285463378437,0.875,185,0.966,0.991,0.348,Irrelevant
302016103274,302016103274_R248470492479,0.927,809,0.972,1.0,0.184,Irrelevant
302016103274,302016103274_R326551118622,0.939,114,0.907,1.0,0.242,Irrelevant
302016103274,302016103274_R273751062870,0.919,244,0.975,1.0,0.154,Irrelevant
302016103274,302016103274_R240562722948,0.873,31,0.957,0.986,0.447,Irrelevant
302016103274,302016103274_R162692350288,0.895,1087,0.976,0.985,0.415,Irrelevant
298944776234,298944776234_R299255775097,0.877,172,0.94,1.0,0.405,Irrelevant
298944776234,298944776234_R320749100482,0.866,50,0.961,0.993,0.414,Irrelevant
298944776234,298944776234_R160029064645,0.921,181,0.924,1.0,0.286,Irrelevant
298944776234,298944776234_R324878935670,0.854,25,0.956,0.993,0.312,Irrelevant
298944776234,298944776234_R281703705754,0.849,73,0.951,0.964,0.444,Irrelevant
298944776234,298944776234_R148257971919,0.899,697,0.957,0.987,0.083,Irrelevant
298944776234,298944776234_R710038517417,0.938,226,0.922,0.988,0.223,Irrelevant
298944776234,298944776234_R255634016800,0.883,132,0.951,0.994,0.105,Irrelevant
298944776234,298944776234_R843097675824,0.855,143,0.969,0.968,0.534,Irrelevant
298944776234,298944776234_R164654090166,0.879,975,0.952,0.983,0.194,Irrelevant
135892154696,135892154696_R182929242934,0.959,931,0.943,1.0,0.152,Irrelevant
135892154696,135892154696_R955900595351,0.868,709,0.965,0.996,0.257,Irrelevant
135892154696,135892154696_R349623231216,0.905,940,0.945,0.991,0.238,Irrelevant
135892154696,135892154696_R109669427943,0.875,734,0.957,0.981,0.318,Irrelevant
135892154696,135892154696_R316576528119,0.899,686,0.957,0.989,0.197,Irrelevant
135892154696,135892154696_R164317743009,0.895,62,0.96,0.989,-0.035,Irrelevant
135892154696,135892154696_R946074991553,0.958,985,0.913,0.995,-0.001,Irrelevant
135892154696,135892154696_R815450966198,0.92,627,0.958,0.99,0.056,Irrelevant
135892154696,135892154696_R209839193901,0.918,902,0.944,1.0,0.164,Irrelevant
135892154696,135892154696_R945442612847,0.852,216,0.956,0.977,0.322,Irrelevant
176235556298,176235556298_R325440441404,0.975,36,0.877,1.0,0.329,Irrelevant
176235556298,176235556298_R338260836457,0.932,258,0.876,1.0,0.354,Irrelevant
176235556298,176235556298_R475005882723,0.913,27,0.852,1.0,0.181,Irrelevant
176235556298,176235556298_R214885762832,0.946,233,0.904,1.0,0.371,Irrelevant
176235556298,176235556298_R136416964436,0.958,281,0.849,1.0,0.245,Irrelevant
176235556298,176235556298_R143233897801,0.961,905,0.873,1.0,0.111,Irrelevant
176235556298,176235556298_R283449946548,0.912,18,0.871,1.0,0.318,Irrelevant
176235556298,176235556298_R142680282782,0.989,340,0.848,1.0,-0.038,Irrelevant
176235556298,176235556298_R277365236801,0.907,65,0.888,1.0,0.518,Irrelevant
176235556298,176235556298_R288876199599,0.952,1183,0.848,1.0,0.095,Irrelevant
309690704909,309690704909_R256587451181,0.93,2116,0.953,0.997,0.459,Irrelevant
309690704909,309690704909_R278835621112,0.876,1894,0.963,0.985,0.329,Irrelevant
309690704909,309690704909_R247714203244,0.944,2125,0.948,0.997,0.126,Irrelevant
309690704909,309690704909_R184964890595,0.902,1919,0.977,0.993,0.323,Irrelevant
309690704909,309690704909_R148573231144,0.9,1871,0.954,0.993,0.207,Irrelevant
309690704909,309690704909_R115153430347,0.871,1247,0.974,0.984,0.169,Irrelevant
309690704909,309690704909_R502033351417,0.963,2170,0.932,0.994,0.262,Irrelevant
309690704909,309690704909_R403977624944,0.898,1812,0.955,0.993,0.077,Irrelevant
309690704909,309690704909_R303134122795,0.938,2087,0.952,0.997,0.244,Irrelevant
309690704909,309690704909_R312782082058,0.856,969,0.971,0.986,0.216,Irrelevant
333814808647,333814808647_R879414988755,0.913,21,0.927,1.0,0.366,Irrelevant
333814808647,333814808647_R540307179919,0.87,243,0.94,1.0,0.349,Irrelevant
333814808647,333814808647_R309812670541,0.907,12,0.914,1.0,0.101,Irrelevant
333814808647,333814808647_R153036787791,0.912,218,0.941,0.979,0.356,Irrelevant
333814808647,333814808647_R228883029610,0.895,266,0.943,1.0,0.419,Irrelevant
333814808647,333814808647_R279037719863,0.932,890,0.938,1.0,0.197,Irrelevant
333814808647,333814808647_R196576642206,0.93,33,0.909,1.0,0.26,Irrelevant
333814808647,333814808647_R206551707354,0.878,325,0.935,1.0,0.268,Irrelevant
333814808647,333814808647_R301736508217,0.857,50,0.943,1.0,0.378,Irrelevant
333814808647,333814808647_R267936061643,0.905,1168,0.933,0.996,0.247,Irrelevant
251612730185,251612730185_R112074183926,0.945,96,0.894,1.0,0.108,Irrelevant
251612730185,251612730185_R223106004467,0.855,126,0.941,0.992,0.4,Irrelevant
251612730185,251612730185_R212276882829,0.902,105,0.918,0.987,0.289,Irrelevant
251612730185,251612730185_R185687683887,0.895,101,0.94,1.0,0.284,Irrelevant
251612730185,251612730185_R247158727090,0.93,149,0.915,1.0,0.276,Irrelevant
251612730185,251612730185_R218300221688,0.943,773,0.936,1.0,0.074,Irrelevant
251612730185,251612730185_R208700049591,0.898,150,0.912,0.985,0.343,Irrelevant
251612730185,251612730185_R146766777498,0.942,208,0.927,1.0,0.052,Irrelevant
251612730185,251612730185_R538163590739,0.857,67,0.927,1.0,0.449,Irrelevant
251612730185,251612730185_R242560576409,0.91,1051,0.951,1.0,0.244,Irrelevant
128003493266,128003493266_R286690652756,0.927,32,0.908,1.0,0.258,Irrelevant
128003493266,128003493266_R235980715208,0.905,254,0.947,0.99,0.324,Irrelevant
128003493266,128003493266_R118268174557,0.94,23,0.936,1.0,0.197,Irrelevant
128003493266,128003493266_R153311235964,0.905,229,0.948,1.0,0.251,Irrelevant
128003493266,128003493266_R116854887928,0.932,277,0.935,0.99,0.393,Irrelevant
128003493266,128003493266_R205860043967,0.945,901,0.937,1.0,0.096,Irrelevant
128003493266,128003493266_R460243901377,0.889,22,0.902,0.977,0.257,Irrelevant
128003493266,128003493266_R695176555454,0.944,336,0.93,1.0,0.06,Irrelevant
128003493266,128003493266_R139390418081,0.837,61,0.939,1.0,0.469,Irrelevant
128003493266,128003493266_R110685727317,0.939,1179,0.932,1.0,0.19,Irrelevant
191073994147,191073994147_R146039677202,0.929,256,0.937,1.0,0.06,Irrelevant
191073994147,191073994147_R304177899825,0.824,34,0.965,0.994,0.363,Irrelevant
191073994147,191073994147_R128855397918,0.875,265,0.954,1.0,0.298,Irrelevant
191073994147,191073994147_R322636388657,0.856,59,0.973,0.974,0.453,Irrelevant
191073994147,191073994147_R280675325294,0.852,11,0.954,0.981,0.363,Irrelevant
191073994147,191073994147_R163115692587,0.896,613,0.968,0.988,0.203,Irrelevant
191073994147,191073994147_R327894984380,0.925,310,0.914,1.0,0.191,Irrelevant
191073994147,191073994147_R154712975738,0.872,48,0.963,0.994,0.152,Irrelevant
191073994147,191073994147_R117242514277,0.921,227,0.931,1.0,0.069,Irrelevant
191073994147,191073994147_R151254883965,0.872,891,0.967,0.984,0.203,Irrelevant
206357073118,206357073118_R595585449075,0.95,225,0.887,1.0,0.132,Irrelevant
206357073118,206357073118_R137990786484,0.858,3,0.942,1.0,0.452,Irrelevant
206357073118,206357073118_R328431381804,0.893,234,0.934,0.991,0.337,Irrelevant
206357073118,206357073118_R167407944062,0.92,28,0.941,0.993,0.198,Irrelevant
206357073118,206357073118_R258357744946,0.897,20,0.949,0.981,0.375,Irrelevant
206357073118,206357073118_R217337104360,0.906,644,0.943,0.996,0.072,Irrelevant
206357073118,206357073118_R918337287360,0.933,279,0.888,1.0,0.221,Irrelevant
206357073118,206357073118_R277066467133,0.911,79,0.942,0.988,-0.02,Irrelevant
206357073118,206357073118_R147686236134,0.875,196,0.935,1.0,0.438,Irrelevant
206357073118,206357073118_R933279094100,0.874,922,0.958,0.987,0.32,Irrelevant
176089184970,176089184970_R248905833227,0.938,140,0.927,1.0,0.287,Irrelevant
176089184970,176089184970_R606399432310,0.872,82,0.937,1.0,0.324,Irrelevant
176089184970,176089184970_R271676134799,0.917,149,0.92,1.0,0.263,Irrelevant
176089184970,176089184970_R310246005254,0.872,57,0.944,0.985,0.218,Irrelevant
176089184970,176089184970_R313064696973,0.892,105,0.955,0.978,0.423,Irrelevant
176089184970,176089184970_R187175035578,0.912,729,0.946,0.996,0.12,Irrelevant
176089184970,176089184970_R297445305755,0.917,194,0.889,1.0,0.21,Irrelevant
176089184970,176089184970_R349743430952,0.879,164,0.947,0.987,0.174,Irrelevant
176089184970,176089184970_R281098085934,0.81,111,0.93,0.978,0.521,Irrelevant
176089184970,176089184970_R336789128753,0.916,1007,0.945,0.99,0.126,Irrelevant
237204912999,237204912999_R249681096379,0.935,830,0.963,1.0,0.349,Irrelevant
237204912999,237204912999_R720726479089,0.871,608,0.968,0.996,0.307,Irrelevant
237204912999,237204912999_R448774498574,0.925,839,0.936,0.992,0.205,Irrelevant
237204912999,237204912999_R193051455973,0.883,633,0.964,0.974,0.283,Irrelevant
237204912999,237204912999_R125103850427,0.9,585,0.953,0.993,0.229,Irrelevant
237204912999,237204912999_R203338411482,0.886,39,0.964,0.995,0.155,Irrelevant
237204912999,237204912999_R653261126647,0.961,884,0.938,0.996,0.112,Irrelevant
237204912999,237204912999_R129421092208,0.892,526,0.949,0.993,0.166,Irrelevant
237204912999,237204912999_R278664475131,0.951,801,0.957,1.0,0.239,Irrelevant
237204912999,237204912999_R157708920102,0.878,317,0.952,0.989,0.204,Irrelevant
206101962712,206101962712_R552876734815,0.924,199,0.948,1.0,0.363,Irrelevant
206101962712,206101962712_R258639985665,0.875,23,0.967,1.0,0.331,Irrelevant
206101962712,206101962712_R110388475263,0.933,208,0.933,1.0,0.125,Irrelevant
206101962712,206101962712_R311850394382,0.887,2,0.968,0.993,0.307,Irrelevant
206101962712,206101962712_R247636245248,0.895,46,0.953,1.0,0.392,Irrelevant
206101962712,206101962712_R190917167070,0.898,670,0.967,0.996,0.253,Irrelevant
206101962712,206101962712_R223065265362,0.919,253,0.94,1.0,0.333,Irrelevant
206101962712,206101962712_R835211819665,0.92,105,0.945,1.0,0.002,Irrelevant
206101962712,206101962712_R960534153068,0.851,170,0.972,0.98,0.551,Irrelevant
206101962712,206101962712_R163495033827,0.911,948,0.958,0.99,0.186,Irrelevant
251348117955,251348117955_R282895208936,0.961,470,0.954,1.0,0.193,Irrelevant
251348117955,251348117955_R207766729106,0.884,248,0.959,1.0,0.412,Irrelevant
251348117955,251348117955_R282788080010,0.936,479,0.935,0.994,0.105,Irrelevant
251348117955,251348117955_R160600363392,0.892,273,0.951,0.985,0.292,Irrelevant
251348117955,251348117955_R224640142676,0.924,225,0.94,0.981,0.19,Irrelevant
251348117955,251348117955_R113138426189,0.9,399,0.959,0.987,0.212,Irrelevant
251348117955,251348117955_R306928367149,0.927,524,0.934,1.0,0.354,Irrelevant
251348117955,251348117955_R158981379351,0.887,166,0.945,0.991,0.083,Irrelevant
251348117955,251348117955_R101458192298,0.924,441,0.952,0.994,0.367,Irrelevant
251348117955,251348117955_R219084500755,0.888,677,0.939,0.986,0.172,Irrelevant
908167218080,908167218080_R772960675716,0.956,391,0.936,1.0,0.205,Irrelevant
908167218080,908167218080_R326080508449,0.899,169,0.972,1.0,0.281,Irrelevant
908167218080,908167218080_R267147900974,0.892,400,0.959,1.0,0.218,Irrelevant
908167218080,908167218080_R141902135469,0.851,194,0.974,0.964,0.473,Irrelevant
908167218080,908167218080_R225157052361,0.906,146,0.966,0.989,0.326,Irrelevant
908167218080,908167218080_R444423088022,0.892,478,0.975,0.985,0.14,Irrelevant
908167218080,908167218080_R262988571052,0.953,445,0.918,1.0,-0.097,Irrelevant
908167218080,908167218080_R292707083106,0.91,87,0.962,0.984,0.011,Irrelevant
908167218080,908167218080_R300128838959,0.901,362,0.969,0.992,0.503,Irrelevant
908167218080,908167218080_R281479130711,0.886,756,0.974,0.982,0.303,Irrelevant
267979830925,267979830925_R306829693602,0.922,350,0.945,0.992,0.268,Irrelevant
267979830925,267979830925_R326084326764,0.864,128,0.965,0.989,0.381,Irrelevant
267979830925,267979830925_R149749787432,0.929,359,0.938,1.0,0.126,Irrelevant
267979830925,267979830925_R128027040356,0.883,153,0.956,0.989,0.282,Irrelevant
267979830925,267979830925_R233068858982,0.89,105,0.953,0.983,0.349,Irrelevant
267979830925,267979830925_R312673771236,0.888,519,0.965,0.985,0.24,Irrelevant
267979830925,267979830925_R181554661243,0.931,404,0.926,0.992,0.241,Irrelevant
267979830925,267979830925_R320166636327,0.887,46,0.956,1.0,0.085,Irrelevant
267979830925,267979830925_R442591141348,0.916,321,0.955,0.993,0.462,Irrelevant
267979830925,267979830925_R149170079974,0.888,797,0.952,0.994,0.109,Irrelevant
319817300668,319817300668_R278027856257,0.819,131,0.943,0.965,0.606,Related
319817300668,319817300668_R114654034476,0.93,200,0.92,1.0,0.273,Irrelevant
319817300668,319817300668_R265927889572,0.87,22,0.939,0.987,0.335,Irrelevant
319817300668,319817300668_R128961110739,0.896,209,0.907,1.0,0.145,Irrelevant
319817300668,319817300668_R222558523066,0.859,3,0.93,0.979,0.306,Irrelevant
319817300668,319817300668_R271095344581,0.866,45,0.911,0.987,0.319,Irrelevant
319817300668,319817300668_R183226980118,0.887,669,0.93,0.996,0.124,Irrelevant
319817300668,319817300668_R241153752384,0.957,254,0.916,1.0,0.297,Irrelevant
319817300668,319817300668_R316672367055,0.924,104,0.907,1.0,0.117,Irrelevant
319817300668,319817300668_R632362369066,0.877,171,0.942,0.972,0.478,Irrelevant
300077963719,300077963719_R229129984530,0.805,165,0.969,0.995,0.663,Related
300077963719,300077963719_R261889704522,0.911,417,0.937,0.986,0.298,Irrelevant
300077963719,300077963719_R197667910355,0.878,195,0.971,0.99,0.424,Irrelevant
300077963719,300077963719_R126980588568,0.928,426,0.955,0.993,0.136,Irrelevant
300077963719,300077963719_R124119100323,0.886,220,0.963,0.984,0.362,Irrelevant
300077963719,300077963719_R115686592762,0.884,172,0.971,0.99,0.439,Irrelevant
300077963719,300077963719_R146817302352,0.858,452,0.98,0.99,0.261,Irrelevant
300077963719,300077963719_R787290788596,0.961,471,0.913,1.0,0.145,Irrelevant
300077963719,300077963719_R200212915269,0.89,113,0.971,1.0,0.038,Irrelevant
300077963719,300077963719_R281194433968,0.885,388,0.96,0.98,0.512,Irrelevant
898197523674,898197523674_R159218250745,0.917,18,0.928,1.0,0.244,Irrelevant
898197523674,898197523674_R189192773813,0.887,204,0.957,1.0,0.448,Irrelevant
898197523674,898197523674_R210277921696,0.891,27,0.934,1.0,0.308,Irrelevant
898197523674,898197523674_R172671820230,0.901,179,0.957,0.991,0.433,Irrelevant
898197523674,898197523674_R105407034408,0.897,227,0.946,0.991,0.423,Irrelevant
898197523674,898197523674_R412157635672,0.925,851,0.946,0.995,0.188,Irrelevant
898197523674,898197523674_R163240234189,0.957,72,0.916,1.0,0.17,Irrelevant
898197523674,898197523674_R479896162220,0.949,286,0.943,0.992,-0.005,Irrelevant
898197523674,898197523674_R799182648263,0.926,11,0.955,1.0,0.355,Irrelevant
898197523674,898197523674_R229050469943,0.935,1129,0.941,0.996,0.161,Irrelevant
761330682432,761330682432_R250433093032,0.837,68,0.954,0.97,0.375,Irrelevant
761330682432,761330682432_R117437999379,0.84,154,0.959,1.0,0.367,Irrelevant
761330682432,761330682432_R136133444176,0.935,77,0.928,1.0,0.083,Irrelevant
761330682432,761330682432_R910952813082,0.881,129,0.96,0.991,0.28,Irrelevant
761330682432,761330682432_R296273626980,0.89,177,0.938,0.992,0.317,Irrelevant
761330682432,761330682432_R281508844628,0.912,801,0.957,0.995,0.187,Irrelevant
761330682432,761330682432_R241632239988,0.918,122,0.926,1.0,0.182,Irrelevant
761330682432,761330682432_R943963793975,0.909,236,0.939,1.0,0.088,Irrelevant
761330682432,761330682432_R145434881071,0.895,39,0.951,1.0,0.346,Irrelevant
761330682432,761330682432_R177855423615,0.903,1079,0.946,0.993,0.115,Irrelevant
281159972605,281159972605_R104153195611,0.943,27,0.935,1.0,0.295,Irrelevant
281159972605,281159972605_R160009639286,0.893,195,0.948,0.991,0.294,Irrelevant
281159972605,281159972605_R132729407007,0.952,36,0.936,1.0,0.232,Irrelevant
281159972605,281159972605_R159342893176,0.893,170,0.959,1.0,0.313,Irrelevant
281159972605,281159972605_R299975678815,0.929,218,0.934,1.0,0.343,Irrelevant
281159972605,281159972605_R138795204147,0.911,842,0.959,1.0,0.265,Irrelevant
281159972605,281159972605_R206417487902,0.917,81,0.93,0.982,0.091,Irrelevant
281159972605,281159972605_R287991858683,0.951,277,0.93,1.0,0.131,Irrelevant
281159972605,281159972605_R147160755543,0.912,2,0.946,1.0,0.299,Irrelevant
281159972605,281159972605_R308549040512,0.909,1120,0.951,1.0,0.038,Irrelevant
