question_id,related_question_id,related_comment_id,jaccard_distance,length_difference,cosine_similarity,w2v_cosine_similarity,relevance
Q269,Q269_R20,Q269_R20_C5,0.962,86,0.656,0.182,Good
Q269,Q269_R20,Q269_R20_C6,0.838,8,0.892,0.465,Good
Q269,Q269_R20,Q269_R20_C7,0.973,19,0.868,0.111,Good
Q269,Q269_R20,Q269_R20_C8,0.946,22,0.912,0.302,Good
Q269,Q269_R20,Q269_R20_C9,0.88,75,0.86,0.437,Bad
Q269,Q269_R20,Q269_R20_C10,0.906,28,0.822,0.158,Good
Q269,Q269_R26,Q269_R26_C1,0.923,38,0.826,0.225,Good
Q269,Q269_R26,Q269_R26_C2,0.961,172,0.863,0.27,PotentiallyUseful
Q269,Q269_R26,Q269_R26_C3,1.0,44,0.391,0.189,Good
Q269,Q269_R26,Q269_R26_C4,0.875,196,0.903,0.473,Good
Q269,Q269_R26,Q269_R26_C5,1.0,80,0.817,0.237,Good
Q269,Q269_R26,Q269_R26_C6,0.896,250,0.894,0.404,Good
Q269,Q269_R26,Q269_R26_C7,1.0,72,0.829,0.199,Good
Q269,Q269_R26,Q269_R26_C8,1.0,18,0.737,0.05,PotentiallyUseful
Q269,Q269_R26,Q269_R26_C9,0.935,52,0.889,0.147,PotentiallyUseful
Q269,Q269_R26,Q269_R26_C10,0.886,65,0.853,0.291,PotentiallyUseful
Q269,Q269_R27,Q269_R27_C1,0.944,188,0.793,0.012,Bad
Q269,Q269_R27,Q269_R27_C2,0.857,33,0.918,0.491,Bad
Q269,Q269_R27,Q269_R27_C3,0.941,234,0.801,-0.015,Bad
Q269,Q269_R27,Q269_R27_C4,0.938,58,0.888,0.208,Bad
Q269,Q269_R27,Q269_R27_C5,0.806,51,0.935,0.477,Bad
Q269,Q269_R27,Q269_R27_C6,0.88,91,0.944,0.529,Good
Q269,Q269_R27,Q269_R27_C7,0.839,154,0.951,0.539,Bad
Q269,Q269_R27,Q269_R27_C8,0.931,220,0.914,0.212,Good
Q269,Q269_R27,Q269_R27_C9,0.921,856,0.946,0.18,Good
Q269,Q269_R27,Q269_R27_C10,0.828,160,0.942,0.56,Bad
Q269,Q269_R29,Q269_R29_C1,0.986,335,0.682,0.262,Good
Q269,Q269_R29,Q269_R29_C2,0.959,291,0.926,0.495,Good
Q269,Q269_R29,Q269_R29_C3,0.984,355,0.761,0.405,Good
Q269,Q269_R29,Q269_R29_C4,0.985,346,0.935,0.521,Good
Q269,Q269_R29,Q269_R29_C5,0.953,350,0.928,0.5,Bad
Q269,Q269_R29,Q269_R29_C6,0.93,291,0.958,0.646,Good
Q269,Q269_R29,Q269_R29_C7,0.953,340,0.873,-0.016,Bad
Q269,Q269_R29,Q269_R29_C8,0.984,353,0.834,0.27,PotentiallyUseful
Q269,Q269_R29,Q269_R29_C9,0.88,222,0.961,0.472,Good
Q269,Q269_R29,Q269_R29_C10,0.867,9,0.968,0.432,Good
Q269,Q269_R38,Q269_R38_C1,0.862,19,0.945,0.538,Good
Q269,Q269_R38,Q269_R38_C2,0.816,104,0.956,0.747,Bad
Q269,Q269_R38,Q269_R38_C3,0.83,71,0.963,0.603,PotentiallyUseful
Q269,Q269_R38,Q269_R38_C4,0.806,77,0.98,0.778,Bad
Q269,Q269_R38,Q269_R38_C5,0.881,32,0.948,0.479,Bad
Q269,Q269_R38,Q269_R38_C6,0.873,43,0.937,0.459,Bad
Q269,Q269_R38,Q269_R38_C7,0.925,8,0.955,0.477,Bad
Q269,Q269_R38,Q269_R38_C8,0.853,3,0.969,0.597,Bad
Q269,Q269_R38,Q269_R38_C9,0.951,161,0.856,0.266,Bad
Q269,Q269_R38,Q269_R38_C10,0.87,43,0.948,0.604,Bad
Q269,Q269_R40,Q269_R40_C1,0.902,57,0.937,0.269,Good
Q269,Q269_R40,Q269_R40_C2,0.825,154,0.964,0.379,Good
Q269,Q269_R40,Q269_R40_C3,0.935,189,0.907,0.107,Good
Q269,Q269_R40,Q269_R40_C4,0.962,231,0.796,0.279,Bad
Q269,Q269_R40,Q269_R40_C5,0.924,139,0.939,0.266,Bad
Q269,Q269_R40,Q269_R40_C6,0.804,246,0.978,0.51,Bad
Q269,Q269_R40,Q269_R40_C7,0.915,202,0.924,0.358,Bad
Q269,Q269_R40,Q269_R40_C8,0.89,731,0.95,-0.052,PotentiallyUseful
Q269,Q269_R40,Q269_R40_C9,0.983,221,0.787,-0.002,Bad
Q269,Q269_R40,Q269_R40_C10,0.981,260,0.694,0.11,Bad
Q269,Q269_R43,Q269_R43_C1,0.887,22,0.915,0.147,Bad
Q269,Q269_R43,Q269_R43_C2,0.971,105,0.854,0.174,Bad
Q269,Q269_R43,Q269_R43_C3,0.95,84,0.858,-0.055,Bad
Q269,Q269_R43,Q269_R43_C4,0.941,856,0.952,0.148,Good
Q269,Q269_R43,Q269_R43_C5,0.938,93,0.921,0.089,Bad
Q269,Q269_R43,Q269_R43_C6,0.944,86,0.89,-0.088,Bad
Q269,Q269_R43,Q269_R43_C7,1.0,27,0.875,0.064,PotentiallyUseful
Q269,Q269_R43,Q269_R43_C8,1.0,75,0.657,-0.002,Bad
Q269,Q269_R43,Q269_R43_C9,0.97,111,0.687,-0.137,Bad
Q269,Q269_R43,Q269_R43_C10,1.0,67,0.864,0.1,Bad
Q270,Q270_R37,Q270_R37_C1,0.909,244,0.854,0.31,Good
Q270,Q270_R37,Q270_R37_C2,0.941,223,0.87,0.455,Good
Q270,Q270_R37,Q270_R37_C3,1.0,347,0.0,-0.156,Bad
Q270,Q270_R37,Q270_R37_C4,0.939,193,0.844,0.687,Good
Q270,Q270_R37,Q270_R37_C5,0.95,271,0.797,0.475,Good
Q270,Q270_R37,Q270_R37_C6,0.932,301,0.849,0.028,Bad
Q270,Q270_R37,Q270_R37_C7,0.902,128,0.886,0.443,Good
Q270,Q270_R37,Q270_R37_C8,0.983,294,0.686,0.194,Good
Q270,Q270_R37,Q270_R37_C9,0.949,4,0.836,0.05,Bad
Q270,Q270_R37,Q270_R37_C10,1.0,338,0.625,0.226,Good
Q270,Q270_R47,Q270_R47_C1,0.886,123,0.9,0.453,Bad
Q270,Q270_R47,Q270_R47_C2,0.889,124,0.878,0.192,Bad
Q270,Q270_R47,Q270_R47_C3,0.907,75,0.895,0.288,Good
Q270,Q270_R47,Q270_R47_C4,1.0,160,0.0,-0.046,Bad
Q270,Q270_R47,Q270_R47_C5,0.844,31,0.93,0.132,Bad
Q270,Q270_R47,Q270_R47_C6,0.941,139,0.831,0.151,Bad
Q270,Q270_R47,Q270_R47_C7,0.923,100,0.873,0.203,Bad
Q270,Q270_R47,Q270_R47_C8,0.884,69,0.892,0.063,Bad
Q270,Q270_R47,Q270_R47_C9,0.899,381,0.948,0.349,Bad
Q270,Q270_R47,Q270_R47_C10,0.848,129,0.902,0.311,Bad
Q270,Q270_R51,Q270_R51_C1,1.0,54,0.841,0.423,Bad
Q270,Q270_R51,Q270_R51_C2,0.972,47,0.832,0.147,Good
Q270,Q270_R51,Q270_R51_C3,0.972,20,0.923,0.397,Good
Q270,Q270_R51,Q270_R51_C4,1.0,18,0.723,0.049,Good
Q270,Q270_R51,Q270_R51_C5,0.975,60,0.821,0.184,Good
Q270,Q270_R51,Q270_R51_C6,1.0,45,0.221,-0.061,Good
Q270,Q270_R51,Q270_R51_C7,0.933,1,0.908,0.319,Bad
Q270,Q270_R51,Q270_R51_C8,1.0,14,0.896,0.48,Bad
Q270,Q270_R51,Q270_R51_C9,1.0,24,0.751,0.142,Bad
Q270,Q270_R51,Q270_R51_C10,0.864,42,0.872,0.513,Bad
Q270,Q270_R54,Q270_R54_C1,0.925,43,0.91,0.28,Good
Q270,Q270_R54,Q270_R54_C2,0.857,93,0.881,0.471,Good
Q270,Q270_R54,Q270_R54_C3,0.857,93,0.897,0.277,Bad
Q270,Q270_R54,Q270_R54_C4,0.962,27,0.572,0.116,Good
Q270,Q270_R54,Q270_R54_C5,0.93,92,0.574,0.097,Bad
Q270,Q270_R54,Q270_R54_C6,0.968,39,0.781,0.151,Bad
Q270,Q270_R54,Q270_R54_C7,0.939,102,0.872,0.32,Bad
Q270,Q270_R54,Q270_R54_C8,0.872,60,0.932,0.438,PotentiallyUseful
Q270,Q270_R54,Q270_R54_C9,0.617,160,0.951,0.716,Bad
Q270,Q270_R54,Q270_R54_C10,0.855,163,0.944,0.47,Good
Q270,Q270_R58,Q270_R58_C1,0.974,2,0.87,0.14,Bad
Q270,Q270_R58,Q270_R58_C2,0.958,61,0.784,0.064,Good
Q270,Q270_R58,Q270_R58_C3,1.0,19,0.677,-0.025,Good
Q270,Q270_R58,Q270_R58_C4,0.903,3,0.899,0.552,Good
Q270,Q270_R58,Q270_R58_C5,0.947,12,0.894,0.398,Bad
Q270,Q270_R58,Q270_R58_C6,1.0,84,0.769,0.172,Bad
Q270,Q270_R58,Q270_R58_C7,1.0,9,0.881,0.222,Bad
Q270,Q270_R58,Q270_R58_C8,0.966,53,0.857,0.179,Good
Q270,Q270_R58,Q270_R58_C9,0.92,55,0.833,0.25,Good
Q270,Q270_R58,Q270_R58_C10,0.9,73,0.89,0.418,Bad
Q270,Q270_R62,Q270_R62_C1,0.944,188,0.793,0.012,Bad
Q270,Q270_R62,Q270_R62_C2,0.857,33,0.918,0.491,Bad
Q270,Q270_R62,Q270_R62_C3,0.941,234,0.801,-0.015,Bad
Q270,Q270_R62,Q270_R62_C4,0.938,58,0.888,0.208,Bad
Q270,Q270_R62,Q270_R62_C5,0.806,51,0.935,0.477,Bad
Q270,Q270_R62,Q270_R62_C6,0.88,91,0.944,0.529,Good
Q270,Q270_R62,Q270_R62_C7,0.839,154,0.951,0.539,Bad
Q270,Q270_R62,Q270_R62_C8,0.931,220,0.914,0.212,Good
Q270,Q270_R62,Q270_R62_C9,0.921,856,0.946,0.18,Good
Q270,Q270_R62,Q270_R62_C10,0.828,160,0.942,0.56,Bad
Q270,Q270_R64,Q270_R64_C1,0.947,115,0.855,0.128,Good
Q270,Q270_R64,Q270_R64_C2,0.973,11,0.907,0.088,Good
Q270,Q270_R64,Q270_R64_C3,0.919,74,0.948,0.32,PotentiallyUseful
Q270,Q270_R64,Q270_R64_C4,0.915,73,0.872,0.05,Good
Q270,Q270_R64,Q270_R64_C5,0.894,48,0.929,0.453,Good
Q270,Q270_R64,Q270_R64_C6,0.941,19,0.911,0.241,Good
Q270,Q270_R64,Q270_R64_C7,0.889,135,0.947,0.479,Bad
Q270,Q270_R64,Q270_R64_C8,0.771,133,0.979,0.722,Bad
Q270,Q270_R64,Q270_R64_C9,0.891,136,0.938,0.581,Good
Q270,Q270_R64,Q270_R64_C10,0.861,252,0.951,0.325,Good
Q270,Q270_R79,Q270_R79_C1,1.0,36,0.0,0.186,Good
Q270,Q270_R79,Q270_R79_C2,0.955,48,0.758,0.325,Good
Q270,Q270_R79,Q270_R79_C3,0.96,38,0.864,0.297,PotentiallyUseful
Q270,Q270_R79,Q270_R79_C4,0.966,18,0.852,-0.1,Good
Q270,Q270_R79,Q270_R79_C5,0.941,11,0.907,0.291,Good
Q270,Q270_R79,Q270_R79_C6,0.933,5,0.904,0.302,Bad
Q270,Q270_R79,Q270_R79_C7,1.0,60,0.0,0.097,Good
Q270,Q270_R79,Q270_R79_C8,0.636,22,0.933,0.683,Bad
Q270,Q270_R79,Q270_R79_C9,0.969,14,0.891,0.073,Good
Q270,Q270_R79,Q270_R79_C10,0.969,14,0.891,0.073,Good
Q270,Q270_R84,Q270_R84_C1,1.0,28,0.48,-0.017,PotentiallyUseful
Q270,Q270_R84,Q270_R84_C2,0.959,230,0.849,-0.005,Good
Q270,Q270_R84,Q270_R84_C3,1.0,43,0.714,-0.099,Bad
Q270,Q270_R84,Q270_R84_C4,1.0,18,0.764,0.076,PotentiallyUseful
Q270,Q270_R84,Q270_R84_C5,0.895,58,0.79,-0.037,Good
Q270,Q270_R84,Q270_R84_C6,1.0,21,0.71,-0.046,Bad
Q270,Q270_R84,Q270_R84_C7,1.0,19,0.429,-0.011,Good
Q270,Q270_R84,Q270_R84_C8,1.0,128,0.803,0.028,Good
Q270,Q270_R84,Q270_R84_C9,0.944,273,0.837,0.131,Good
Q270,Q270_R84,Q270_R84_C10,1.0,7,0.569,-0.138,Good
Q270,Q270_R96,Q270_R96_C1,0.926,95,0.844,0.206,Bad
Q270,Q270_R96,Q270_R96_C2,0.899,351,0.974,0.55,Good
Q270,Q270_R96,Q270_R96_C3,0.893,111,0.973,0.591,Bad
Q270,Q270_R96,Q270_R96_C4,0.857,14,0.969,0.565,Good
Q270,Q270_R96,Q270_R96_C5,0.915,9,0.966,0.393,Good
Q270,Q270_R96,Q270_R96_C6,1.0,167,0.866,0.067,Bad
Q270,Q270_R96,Q270_R96_C7,1.0,200,0.621,0.119,Good
Q270,Q270_R96,Q270_R96_C8,0.931,103,0.924,0.5,Bad
Q270,Q270_R96,Q270_R96_C9,0.894,143,0.945,0.566,Bad
Q270,Q270_R96,Q270_R96_C10,0.941,153,0.793,0.31,Bad
Q271,Q271_R4,Q271_R4_C1,0.9,102,0.921,0.147,Good
Q271,Q271_R4,Q271_R4_C2,0.982,221,0.882,0.165,Bad
Q271,Q271_R4,Q271_R4_C3,0.935,176,0.875,0.069,Good
Q271,Q271_R4,Q271_R4_C4,0.882,122,0.964,0.357,Bad
Q271,Q271_R4,Q271_R4_C5,0.898,176,0.9,0.231,Bad
Q271,Q271_R4,Q271_R4_C6,0.931,200,0.876,0.227,Good
Q271,Q271_R4,Q271_R4_C7,0.881,30,0.967,0.314,PotentiallyUseful
Q271,Q271_R4,Q271_R4_C8,0.891,130,0.933,0.255,PotentiallyUseful
Q271,Q271_R4,Q271_R4_C9,0.902,157,0.925,0.239,Good
Q271,Q271_R4,Q271_R4_C10,0.892,555,0.963,0.367,PotentiallyUseful
Q271,Q271_R14,Q271_R14_C1,0.938,135,0.914,0.278,Good
Q271,Q271_R14,Q271_R14_C2,0.839,135,0.936,0.226,Bad
Q271,Q271_R14,Q271_R14_C3,0.911,200,0.901,0.239,Bad
Q271,Q271_R14,Q271_R14_C4,0.962,233,0.895,0.171,Bad
Q271,Q271_R14,Q271_R14_C5,0.95,175,0.887,0.304,Bad
Q271,Q271_R14,Q271_R14_C6,0.909,79,0.951,0.386,Good
Q271,Q271_R14,Q271_R14_C7,0.923,77,0.924,0.25,Good
Q271,Q271_R14,Q271_R14_C8,0.942,104,0.883,-0.185,Good
Q271,Q271_R14,Q271_R14_C9,0.926,222,0.879,0.275,Bad
Q271,Q271_R14,Q271_R14_C10,0.943,142,0.946,0.117,PotentiallyUseful
Q271,Q271_R24,Q271_R24_C1,0.87,121,0.969,0.468,Good
Q271,Q271_R24,Q271_R24_C2,0.893,649,0.944,0.238,Good
Q271,Q271_R24,Q271_R24_C3,0.967,189,0.918,0.397,Bad
Q271,Q271_R24,Q271_R24_C4,0.983,170,0.873,0.151,Bad
Q271,Q271_R24,Q271_R24_C5,0.983,195,0.827,0.245,PotentiallyUseful
Q271,Q271_R24,Q271_R24_C6,0.815,197,0.968,0.567,Good
Q271,Q271_R24,Q271_R24_C7,0.953,159,0.911,0.357,PotentiallyUseful
Q271,Q271_R24,Q271_R24_C8,0.967,174,0.918,0.504,PotentiallyUseful
Q271,Q271_R24,Q271_R24_C9,0.982,154,0.831,0.052,PotentiallyUseful
Q271,Q271_R24,Q271_R24_C10,0.858,302,0.967,0.392,PotentiallyUseful
Q271,Q271_R38,Q271_R38_C1,0.825,71,0.928,0.193,Good
Q271,Q271_R38,Q271_R38_C2,0.811,100,0.957,0.575,Bad
Q271,Q271_R38,Q271_R38_C3,0.871,60,0.951,0.424,Good
Q271,Q271_R38,Q271_R38_C4,0.878,112,0.946,0.304,Good
Q271,Q271_R38,Q271_R38_C5,0.938,147,0.933,0.228,Good
Q271,Q271_R38,Q271_R38_C6,0.949,269,0.927,0.284,PotentiallyUseful
Q271,Q271_R38,Q271_R38_C7,0.89,191,0.923,0.18,PotentiallyUseful
Q271,Q271_R38,Q271_R38_C8,0.813,203,0.971,0.538,Bad
Q271,Q271_R38,Q271_R38_C9,0.939,127,0.927,0.242,Good
Q271,Q271_R38,Q271_R38_C10,0.901,168,0.939,0.25,PotentiallyUseful
Q271,Q271_R57,Q271_R57_C1,0.892,75,0.941,0.575,PotentiallyUseful
Q271,Q271_R57,Q271_R57_C2,0.911,17,0.921,0.605,Good
Q271,Q271_R57,Q271_R57_C3,0.804,42,0.955,0.657,Bad
Q271,Q271_R57,Q271_R57_C4,0.903,116,0.912,0.544,Good
Q271,Q271_R57,Q271_R57_C5,1.0,144,0.79,0.233,Bad
Q271,Q271_R57,Q271_R57_C6,0.971,123,0.843,0.258,Bad
Q271,Q271_R57,Q271_R57_C7,0.848,90,0.936,0.423,Good
Q271,Q271_R57,Q271_R57_C8,0.855,79,0.953,0.547,PotentiallyUseful
Q271,Q271_R57,Q271_R57_C9,0.964,151,0.759,0.122,Bad
Q271,Q271_R57,Q271_R57_C10,0.897,291,0.938,0.234,Bad
Q271,Q271_R59,Q271_R59_C1,0.886,744,0.949,0.122,Good
Q271,Q271_R59,Q271_R59_C2,0.982,219,0.785,0.292,Bad
Q271,Q271_R59,Q271_R59_C3,0.914,253,0.969,0.441,Good
Q271,Q271_R59,Q271_R59_C4,0.921,149,0.939,0.437,Good
Q271,Q271_R59,Q271_R59_C5,0.918,185,0.92,0.469,Bad
Q271,Q271_R59,Q271_R59_C6,0.919,56,0.951,0.449,Good
Q271,Q271_R59,Q271_R59_C7,0.9,64,0.939,0.151,Good
Q271,Q271_R59,Q271_R59_C8,0.9,64,0.939,0.151,Good
Q271,Q271_R59,Q271_R59_C9,0.9,64,0.939,0.151,Good
Q271,Q271_R59,Q271_R59_C10,0.838,585,0.978,0.438,Bad
Q271,Q271_R63,Q271_R63_C1,0.902,58,0.947,0.527,Bad
Q271,Q271_R63,Q271_R63_C2,1.0,291,0.877,0.201,Bad
