original_id,related_question_id,jaccard_distance,length_difference,cosine_similarity,relevance
Q7,Q7_R39,0.925,89,0.924,Irrelevant
Q7,Q7_R43,0.923,20,0.938,Irrelevant
Q7,Q7_R44,0.909,207,0.941,Irrelevant
Q7,Q7_R45,0.962,24,0.928,Irrelevant
Q8,Q8_R38,0.763,179,0.973,Relevant
Q8,Q8_R65,0.968,189,0.861,Irrelevant
Q8,Q8_R67,1.0,296,0.0,Irrelevant
Q8,Q8_R69,0.911,34,0.96,Relevant
Q8,Q8_R70,0.863,83,0.961,Irrelevant
Q8,Q8_R75,0.878,82,0.951,Irrelevant
Q8,Q8_R78,0.909,80,0.953,Irrelevant
Q8,Q8_R83,0.946,232,0.91,Irrelevant
Q8,Q8_R88,0.905,163,0.873,Irrelevant
Q8,Q8_R89,0.881,127,0.953,Irrelevant
Q9,Q9_R5,0.923,66,0.897,Relevant
Q9,Q9_R12,0.8,28,0.923,Relevant
Q9,Q9_R21,0.892,60,0.911,PerfectMatch
Q9,Q9_R28,0.958,115,0.904,Irrelevant
Q9,Q9_R31,0.917,29,0.899,PerfectMatch
Q9,Q9_R40,0.87,25,0.884,Irrelevant
Q9,Q9_R41,1.0,71,0.0,Irrelevant
Q9,Q9_R43,0.954,279,0.916,Irrelevant
Q9,Q9_R45,0.9,89,0.904,Irrelevant
Q9,Q9_R47,0.933,47,0.891,Irrelevant
Q10,Q10_R2,1.0,78,0.581,PerfectMatch
Q10,Q10_R4,1.0,252,0.623,PerfectMatch
Q10,Q10_R8,1.0,327,0.612,Relevant
Q10,Q10_R11,0.972,393,0.708,Irrelevant
Q10,Q10_R16,0.9,49,0.0,Irrelevant
Q10,Q10_R19,0.982,307,0.61,Irrelevant
Q10,Q10_R22,0.987,442,0.648,Relevant
Q10,Q10_R32,0.977,231,0.587,Irrelevant
Q10,Q10_R33,0.981,230,0.674,Irrelevant
Q10,Q10_R39,1.0,80,0.669,Irrelevant
Q11,Q11_R1,0.875,13,0.862,PerfectMatch
Q11,Q11_R3,0.722,4,0.922,PerfectMatch
Q11,Q11_R13,0.913,10,0.853,PerfectMatch
Q11,Q11_R18,0.953,295,0.918,PerfectMatch
Q11,Q11_R20,0.913,22,0.856,Relevant
Q11,Q11_R26,0.938,82,0.845,Relevant
Q11,Q11_R27,0.8,18,0.864,PerfectMatch
Q11,Q11_R31,0.95,10,0.898,PerfectMatch
Q11,Q11_R36,0.939,73,0.931,Relevant
Q11,Q11_R40,0.952,299,0.879,Relevant
Q12,Q12_R2,0.833,34,0.882,PerfectMatch
Q12,Q12_R7,0.924,338,0.945,PerfectMatch
Q12,Q12_R11,0.92,338,0.948,Irrelevant
Q12,Q12_R13,0.909,222,0.926,Irrelevant
Q12,Q12_R23,0.927,138,0.91,Irrelevant
Q12,Q12_R26,0.915,298,0.931,Irrelevant
Q12,Q12_R27,0.923,245,0.936,Irrelevant
Q12,Q12_R29,0.906,268,0.94,Irrelevant
Q12,Q12_R34,0.935,10,0.904,Irrelevant
Q12,Q12_R37,0.86,110,0.897,Irrelevant
Q13,Q13_R3,0.902,173,0.906,Relevant
Q13,Q13_R7,0.947,30,0.962,Relevant
Q13,Q13_R20,0.929,221,0.952,Irrelevant
Q13,Q13_R21,0.926,71,0.93,Irrelevant
Q13,Q13_R24,0.872,143,0.898,Irrelevant
Q13,Q13_R27,0.971,38,0.871,Irrelevant
Q13,Q13_R30,0.883,50,0.96,Irrelevant
Q13,Q13_R32,0.915,105,0.961,Irrelevant
Q13,Q13_R33,0.9,170,0.946,Irrelevant
Q13,Q13_R40,0.926,66,0.932,Irrelevant
Q14,Q14_R1,0.795,26,0.958,Relevant
Q14,Q14_R5,0.894,74,0.97,Relevant
Q14,Q14_R7,0.884,24,0.966,Relevant
Q14,Q14_R9,0.918,163,0.947,PerfectMatch
Q14,Q14_R10,0.841,69,0.972,Irrelevant
Q14,Q14_R14,0.851,51,0.969,PerfectMatch
Q14,Q14_R17,0.894,141,0.962,PerfectMatch
Q14,Q14_R20,1.0,284,0.0,PerfectMatch
Q14,Q14_R23,0.873,141,0.938,Relevant
Q14,Q14_R24,0.863,25,0.962,Irrelevant
Q15,Q15_R1,0.892,366,0.934,Relevant
Q15,Q15_R2,0.873,231,0.944,Irrelevant
Q15,Q15_R4,0.979,73,0.945,Relevant
Q15,Q15_R6,0.923,40,0.918,Relevant
Q15,Q15_R9,0.872,24,0.942,Relevant
Q15,Q15_R17,0.915,182,0.923,Irrelevant
Q15,Q15_R21,0.897,265,0.936,Relevant
Q15,Q15_R23,0.922,281,0.956,Relevant
Q15,Q15_R30,0.934,199,0.886,Relevant
Q15,Q15_R36,0.87,50,0.896,Irrelevant
Q16,Q16_R5,0.929,47,0.96,Irrelevant
Q16,Q16_R9,0.893,3,0.938,Irrelevant
Q16,Q16_R13,0.886,70,0.96,Irrelevant
Q16,Q16_R28,0.895,173,0.956,Irrelevant
Q16,Q16_R29,0.841,28,0.971,Irrelevant
Q16,Q16_R30,0.893,145,0.932,Irrelevant
Q16,Q16_R40,0.911,127,0.924,Irrelevant
Q16,Q16_R48,1.0,194,0.783,Irrelevant
Q16,Q16_R51,0.891,78,0.95,Irrelevant
Q16,Q16_R59,0.902,141,0.966,Irrelevant
Q17,Q17_R3,0.897,172,0.93,PerfectMatch
Q17,Q17_R13,0.929,25,0.878,Relevant
Q17,Q17_R17,0.915,92,0.908,Relevant
Q17,Q17_R23,0.833,195,0.943,Relevant
Q17,Q17_R26,0.912,227,0.916,Irrelevant
Q17,Q17_R30,0.917,309,0.906,Irrelevant
Q17,Q17_R38,0.908,281,0.931,Irrelevant
Q17,Q17_R40,0.926,39,0.914,Relevant
Q17,Q17_R46,0.913,79,0.931,Irrelevant
Q17,Q17_R56,0.903,37,0.831,Irrelevant
Q18,Q18_R6,0.864,104,0.966,Relevant
Q18,Q18_R9,0.884,183,0.942,Relevant
Q18,Q18_R13,0.871,68,0.964,Irrelevant
Q18,Q18_R14,0.871,7,0.953,Irrelevant
Q18,Q18_R16,0.969,216,0.912,Irrelevant
Q18,Q18_R18,0.923,213,0.875,Relevant
Q18,Q18_R19,0.847,63,0.963,Relevant
Q18,Q18_R28,0.931,58,0.959,Relevant
Q18,Q18_R29,0.892,84,0.964,Relevant
Q18,Q18_R35,0.884,8,0.969,PerfectMatch
Q19,Q19_R6,0.875,45,0.94,Relevant
Q19,Q19_R9,0.775,75,0.955,Irrelevant
Q19,Q19_R10,0.884,24,0.943,Relevant
Q19,Q19_R22,0.859,37,0.957,Relevant
Q19,Q19_R23,0.879,181,0.946,Irrelevant
Q19,Q19_R27,0.893,20,0.903,Irrelevant
Q19,Q19_R35,0.886,3,0.934,Irrelevant
Q19,Q19_R37,0.949,186,0.866,Irrelevant
Q19,Q19_R38,0.837,133,0.946,Relevant
Q19,Q19_R45,0.824,53,0.977,Irrelevant
Q20,Q20_R7,0.88,205,0.937,Irrelevant
Q20,Q20_R20,0.94,64,0.923,Relevant
Q20,Q20_R22,0.843,245,0.965,Relevant
Q20,Q20_R34,0.866,215,0.96,Relevant
Q20,Q20_R43,0.896,87,0.912,Irrelevant
Q20,Q20_R45,0.874,264,0.969,Irrelevant
Q20,Q20_R51,0.952,109,0.886,Irrelevant
Q20,Q20_R59,0.855,227,0.96,Relevant
Q20,Q20_R64,0.946,151,0.948,Irrelevant
Q20,Q20_R66,0.855,28,0.918,Relevant
Q21,Q21_R17,0.953,96,0.938,Irrelevant
Q21,Q21_R22,0.915,337,0.951,Relevant
Q21,Q21_R23,1.0,59,0.0,PerfectMatch
Q21,Q21_R51,0.969,204,0.927,Irrelevant
Q21,Q21_R58,0.938,54,0.922,Irrelevant
Q21,Q21_R64,0.919,68,0.936,Irrelevant
Q21,Q21_R71,0.937,244,0.928,Irrelevant
Q21,Q21_R77,0.871,66,0.921,Relevant
Q21,Q21_R82,0.9,116,0.954,Irrelevant
Q21,Q21_R87,0.911,179,0.917,Irrelevant
Q22,Q22_R17,0.845,64,0.969,Relevant
Q22,Q22_R24,0.841,69,0.957,Irrelevant
Q22,Q22_R32,0.9,91,0.95,Relevant
Q22,Q22_R35,0.882,98,0.955,Relevant
Q22,Q22_R37,0.837,38,0.967,Irrelevant
Q22,Q22_R42,0.807,28,0.978,Relevant
Q22,Q22_R43,0.903,152,0.914,Irrelevant
Q22,Q22_R48,0.925,127,0.924,Irrelevant
Q22,Q22_R58,0.86,119,0.957,Irrelevant
Q22,Q22_R62,0.885,39,0.943,Irrelevant
Q23,Q23_R7,0.91,132,0.953,Relevant
Q23,Q23_R9,0.886,194,0.949,Relevant
Q23,Q23_R11,0.899,128,0.961,Relevant
Q23,Q23_R14,0.848,16,0.968,Relevant
Q23,Q23_R26,0.899,55,0.96,Irrelevant
Q23,Q23_R28,0.968,239,0.87,Irrelevant
Q23,Q23_R29,0.885,50,0.955,Irrelevant
Q23,Q23_R34,0.82,52,0.971,Relevant
Q23,Q23_R38,0.904,77,0.942,Irrelevant
Q23,Q23_R39,0.852,22,0.953,Relevant
Q24,Q24_R12,0.932,82,0.922,Irrelevant
Q24,Q24_R31,0.943,272,0.93,Irrelevant
Q24,Q24_R34,0.938,36,0.906,Irrelevant
Q24,Q24_R37,0.872,40,0.882,Irrelevant
Q24,Q24_R54,0.857,293,0.955,Irrelevant
Q24,Q24_R65,0.929,16,0.929,Relevant
Q24,Q24_R67,0.93,46,0.929,Irrelevant
Q24,Q24_R70,0.886,184,0.959,Irrelevant
Q24,Q24_R78,0.919,165,0.938,Irrelevant
Q24,Q24_R80,0.929,222,0.947,Irrelevant
Q25,Q25_R2,0.981,141,0.966,Relevant
Q25,Q25_R25,0.859,22,0.967,Relevant
Q25,Q25_R47,0.824,112,0.96,PerfectMatch
Q25,Q25_R53,0.795,164,0.971,Relevant
Q25,Q25_R58,0.861,2,0.948,Relevant
Q25,Q25_R62,0.835,163,0.969,PerfectMatch
Q25,Q25_R74,0.883,29,0.952,Relevant
Q25,Q25_R75,0.78,204,0.961,Relevant
Q25,Q25_R78,0.884,132,0.95,Relevant
Q25,Q25_R84,0.818,93,0.964,Irrelevant
Q26,Q26_R4,0.935,279,0.86,Relevant
Q26,Q26_R26,0.919,380,0.896,Relevant
Q26,Q26_R35,0.938,230,0.907,Irrelevant
Q26,Q26_R56,0.932,288,0.888,Irrelevant
Q26,Q26_R65,0.955,274,0.86,Relevant
Q26,Q26_R73,0.94,190,0.878,Irrelevant
Q26,Q26_R77,0.948,229,0.841,Irrelevant
Q26,Q26_R83,0.897,395,0.904,Irrelevant
Q26,Q26_R84,0.973,315,0.877,Irrelevant
Q26,Q26_R86,0.906,35,0.855,Irrelevant
Q27,Q27_R2,0.909,121,0.863,Relevant
Q27,Q27_R4,0.929,55,0.831,Relevant
Q27,Q27_R11,0.938,285,0.894,PerfectMatch
Q27,Q27_R13,0.75,23,0.941,Relevant
Q27,Q27_R14,0.886,101,0.831,Relevant
Q27,Q27_R19,0.364,9,0.981,PerfectMatch
Q27,Q27_R24,0.914,339,0.885,Relevant
Q27,Q27_R36,1.0,2,0.327,PerfectMatch
Q27,Q27_R38,0.902,173,0.91,PerfectMatch
Q27,Q27_R39,0.81,37,0.914,Relevant
Q28,Q28_R6,0.869,34,0.924,Relevant
Q28,Q28_R8,0.986,79,0.883,Irrelevant
Q28,Q28_R13,0.866,29,0.925,Irrelevant
Q28,Q28_R16,0.929,6,0.94,Relevant
Q28,Q28_R20,0.937,130,0.876,Irrelevant
Q28,Q28_R23,0.917,102,0.887,Irrelevant
Q28,Q28_R24,0.879,99,0.906,Relevant
Q28,Q28_R31,0.802,60,0.923,Relevant
Q28,Q28_R36,0.948,96,0.901,Irrelevant
Q28,Q28_R37,0.927,85,0.91,Irrelevant
Q29,Q29_R2,0.943,319,0.884,PerfectMatch
Q29,Q29_R7,0.917,84,0.821,Relevant
Q29,Q29_R10,0.967,40,0.861,Relevant
Q29,Q29_R33,0.967,36,0.883,Irrelevant
Q29,Q29_R42,0.938,252,0.849,Relevant
Q29,Q29_R51,0.949,222,0.87,Irrelevant
Q29,Q29_R52,0.967,75,0.833,Irrelevant
Q29,Q29_R68,0.957,275,0.889,Irrelevant
Q29,Q29_R70,0.937,281,0.89,Irrelevant
Q29,Q29_R75,0.973,315,0.855,Irrelevant
Q30,Q30_R9,0.967,69,0.902,Irrelevant
Q30,Q30_R10,0.895,271,0.947,Irrelevant
Q30,Q30_R11,0.968,44,0.849,Irrelevant
Q30,Q30_R12,0.941,159,0.955,Irrelevant
Q30,Q30_R20,0.875,63,0.917,Irrelevant
Q30,Q30_R26,0.944,27,0.919,Irrelevant
Q30,Q30_R27,0.903,299,0.935,Irrelevant
Q30,Q30_R36,0.922,264,0.967,Irrelevant
Q30,Q30_R37,0.937,329,0.94,Irrelevant
Q30,Q30_R39,0.954,322,0.945,Irrelevant
Q31,Q31_R12,0.855,117,0.962,Irrelevant
Q31,Q31_R20,0.958,252,0.917,Irrelevant
Q31,Q31_R22,0.884,121,0.969,Irrelevant
Q31,Q31_R23,0.865,84,0.948,Irrelevant
Q31,Q31_R27,0.916,176,0.943,Irrelevant
Q31,Q31_R28,0.883,41,0.968,Irrelevant
Q31,Q31_R30,0.876,105,0.97,Irrelevant
Q31,Q31_R32,0.875,107,0.976,Irrelevant
Q31,Q31_R35,0.886,42,0.962,Irrelevant
Q31,Q31_R36,0.895,29,0.972,Irrelevant
Q32,Q32_R6,0.889,70,0.96,Irrelevant
Q32,Q32_R11,0.875,122,0.959,Irrelevant
Q32,Q32_R17,0.918,37,0.958,Irrelevant
Q32,Q32_R18,0.88,43,0.956,Relevant
Q32,Q32_R22,0.909,117,0.952,Irrelevant
Q32,Q32_R24,0.891,76,0.962,Irrelevant
Q32,Q32_R31,0.954,122,0.928,Irrelevant
Q32,Q32_R34,0.942,159,0.952,Irrelevant
Q32,Q32_R36,0.854,179,0.965,Irrelevant
Q32,Q32_R38,0.899,77,0.94,Irrelevant
Q33,Q33_R10,0.842,140,0.872,PerfectMatch
Q33,Q33_R12,0.929,20,0.729,PerfectMatch
Q33,Q33_R26,0.933,186,0.867,Relevant
Q33,Q33_R27,0.833,7,0.873,PerfectMatch
Q33,Q33_R33,1.0,43,0.0,PerfectMatch
Q33,Q33_R39,0.935,74,0.876,PerfectMatch
Q33,Q33_R72,0.909,80,0.887,Irrelevant
Q33,Q33_R78,0.963,57,0.833,Relevant
Q33,Q33_R91,0.925,138,0.879,PerfectMatch
Q33,Q33_R92,0.96,46,0.752,Relevant
Q34,Q34_R16,0.912,57,0.865,Relevant
Q34,Q34_R19,0.854,156,0.92,PerfectMatch
Q34,Q34_R33,0.885,229,0.883,Irrelevant
Q34,Q34_R34,0.843,226,0.945,Irrelevant
Q34,Q34_R45,0.898,171,0.907,Relevant
Q34,Q34_R46,0.847,297,0.944,Relevant
Q34,Q34_R51,0.895,85,0.846,Irrelevant
Q34,Q34_R55,0.872,165,0.916,Relevant
Q34,Q34_R73,0.96,120,0.913,Irrelevant
Q34,Q34_R85,0.934,261,0.912,Irrelevant
Q35,Q35_R8,0.936,83,0.887,Irrelevant
Q35,Q35_R32,0.9,49,0.864,Irrelevant
Q35,Q35_R33,0.914,300,0.874,Irrelevant
Q35,Q35_R36,0.964,23,0.645,Irrelevant
Q35,Q35_R40,0.95,27,0.882,Irrelevant
Q35,Q35_R42,0.934,234,0.89,Irrelevant
Q35,Q35_R43,0.951,29,0.884,Irrelevant
Q35,Q35_R53,0.902,61,0.85,Irrelevant
Q35,Q35_R59,0.909,0,0.868,Irrelevant
Q35,Q35_R66,0.905,42,0.844,Irrelevant
Q36,Q36_R7,0.791,2,0.964,Relevant
Q36,Q36_R45,0.903,27,0.956,Relevant
Q36,Q36_R47,0.8,61,0.962,Relevant
Q36,Q36_R54,0.83,206,0.966,Relevant
Q36,Q36_R55,0.871,211,0.969,PerfectMatch
Q36,Q36_R57,0.857,229,0.97,PerfectMatch
Q36,Q36_R60,0.846,102,0.953,Relevant
Q36,Q36_R78,0.888,116,0.962,Relevant
Q36,Q36_R79,0.792,83,0.98,Relevant
Q36,Q36_R89,0.915,21,0.946,Irrelevant
Q37,Q37_R7,0.867,70,0.959,PerfectMatch
Q37,Q37_R11,0.925,41,0.942,PerfectMatch
Q37,Q37_R27,0.861,138,0.963,Relevant
Q37,Q37_R31,0.929,37,0.946,Relevant
Q37,Q37_R39,0.857,185,0.912,PerfectMatch
Q37,Q37_R46,0.912,95,0.95,PerfectMatch
Q37,Q37_R49,0.889,42,0.965,Irrelevant
Q37,Q37_R68,0.875,154,0.937,Irrelevant
Q37,Q37_R69,0.906,207,0.97,PerfectMatch
Q37,Q37_R71,0.914,108,0.964,Irrelevant
Q38,Q38_R13,0.884,85,0.938,PerfectMatch
Q38,Q38_R18,0.857,38,0.936,Relevant
Q38,Q38_R20,0.867,80,0.964,Irrelevant
Q38,Q38_R25,0.961,38,0.621,Irrelevant
Q38,Q38_R26,0.886,95,0.947,Irrelevant
Q38,Q38_R28,0.893,29,0.963,Irrelevant
Q38,Q38_R31,0.877,117,0.958,Irrelevant
Q38,Q38_R32,0.844,113,0.961,Irrelevant
Q38,Q38_R37,0.877,27,0.945,Irrelevant
Q38,Q38_R41,0.813,148,0.966,Relevant
Q39,Q39_R3,0.953,135,0.83,Relevant
Q39,Q39_R4,0.878,86,0.919,Relevant
Q39,Q39_R5,0.889,172,0.938,Relevant
Q39,Q39_R6,0.901,268,0.958,Relevant
Q39,Q39_R7,0.904,170,0.947,Relevant
Q39,Q39_R9,0.878,140,0.958,Relevant
Q39,Q39_R12,0.889,176,0.907,Irrelevant
Q39,Q39_R20,0.928,3,0.933,Irrelevant
Q39,Q39_R22,0.857,216,0.958,Relevant
Q39,Q39_R26,1.0,156,0.497,Irrelevant
Q40,Q40_R2,0.864,77,0.92,Relevant
Q40,Q40_R5,0.936,334,0.927,Irrelevant
Q40,Q40_R14,0.931,173,0.908,Irrelevant
Q40,Q40_R19,0.94,336,0.919,Irrelevant
Q40,Q40_R23,0.915,303,0.92,Irrelevant
Q40,Q40_R32,0.952,65,0.822,Irrelevant
Q40,Q40_R35,0.951,64,0.893,Irrelevant
Q40,Q40_R37,0.967,176,0.895,Irrelevant
Q40,Q40_R41,0.928,273,0.921,Irrelevant
Q40,Q40_R54,0.886,130,0.916,Irrelevant
Q41,Q41_R9,0.912,16,0.959,PerfectMatch
Q41,Q41_R13,0.952,65,0.967,Relevant
Q41,Q41_R18,0.873,62,0.958,Relevant
Q41,Q41_R19,0.878,116,0.954,Irrelevant
Q41,Q41_R24,0.887,56,0.937,Irrelevant
Q41,Q41_R29,0.905,72,0.95,PerfectMatch
Q41,Q41_R41,0.931,106,0.947,Irrelevant
Q41,Q41_R46,0.781,15,0.955,PerfectMatch
Q41,Q41_R47,0.853,54,0.96,Relevant
Q41,Q41_R56,0.859,77,0.954,Relevant
Q42,Q42_R1,0.953,197,0.922,Irrelevant
Q42,Q42_R6,0.818,265,0.945,PerfectMatch
Q42,Q42_R10,0.889,81,0.954,Relevant
Q42,Q42_R12,0.873,185,0.946,Irrelevant
Q42,Q42_R13,0.824,230,0.959,Relevant
Q42,Q42_R14,0.863,173,0.964,Irrelevant
Q42,Q42_R18,0.873,195,0.923,PerfectMatch
Q42,Q42_R25,0.87,7,0.916,Relevant
Q42,Q42_R31,0.889,241,0.942,Irrelevant
Q42,Q42_R32,0.864,78,0.908,Irrelevant
Q43,Q43_R3,0.963,260,0.868,Relevant
Q43,Q43_R7,0.926,262,0.889,Relevant
Q43,Q43_R11,0.963,283,0.887,PerfectMatch
Q43,Q43_R19,0.938,109,0.887,Relevant
Q43,Q43_R29,0.986,379,0.864,Irrelevant
Q43,Q43_R34,0.962,231,0.867,Irrelevant
Q43,Q43_R45,0.986,332,0.835,Relevant
Q43,Q43_R51,0.943,252,0.874,Relevant
Q43,Q43_R56,0.966,290,0.87,Irrelevant
Q43,Q43_R57,0.929,180,0.881,Relevant
Q44,Q44_R29,0.855,193,0.964,Relevant
Q44,Q44_R34,0.887,66,0.965,Irrelevant
Q44,Q44_R35,0.861,158,0.967,Relevant
Q44,Q44_R37,0.838,85,0.967,Relevant
Q44,Q44_R45,0.881,267,0.967,Relevant
Q44,Q44_R51,0.865,49,0.935,Relevant
Q44,Q44_R53,0.791,266,0.968,Irrelevant
Q44,Q44_R57,0.836,137,0.944,Irrelevant
Q44,Q44_R58,0.821,240,0.981,Relevant
Q44,Q44_R64,0.841,200,0.976,PerfectMatch
Q45,Q45_R1,0.935,80,0.933,Irrelevant
Q45,Q45_R2,0.959,306,0.89,Irrelevant
Q45,Q45_R3,0.932,77,0.885,Irrelevant
Q45,Q45_R4,0.93,80,0.903,Irrelevant
Q45,Q45_R9,0.971,4,0.909,Irrelevant
Q45,Q45_R14,0.944,18,0.871,Irrelevant
Q45,Q45_R25,0.944,69,0.766,Irrelevant
Q45,Q45_R26,0.957,109,0.896,Irrelevant
Q45,Q45_R29,0.96,294,0.941,Irrelevant
Q45,Q45_R40,0.889,38,0.902,Irrelevant
Q46,Q46_R1,0.889,203,0.923,PerfectMatch
Q46,Q46_R8,0.935,363,0.904,PerfectMatch
Q46,Q46_R10,0.86,149,0.922,PerfectMatch
Q46,Q46_R11,0.926,232,0.899,PerfectMatch
Q46,Q46_R12,0.891,196,0.909,Relevant
Q46,Q46_R13,0.947,111,0.892,PerfectMatch
Q46,Q46_R23,0.848,92,0.928,Irrelevant
Q46,Q46_R25,0.844,59,0.934,PerfectMatch
Q46,Q46_R28,0.889,27,0.878,Irrelevant
Q46,Q46_R31,0.958,160,0.922,Irrelevant
Q47,Q47_R2,0.93,320,0.861,PerfectMatch
Q47,Q47_R9,0.878,184,0.86,Irrelevant
Q47,Q47_R11,0.906,204,0.88,Relevant
Q47,Q47_R12,0.939,348,0.879,Irrelevant
Q47,Q47_R13,0.946,266,0.867,Irrelevant
Q47,Q47_R24,0.935,260,0.868,Irrelevant
Q47,Q47_R26,0.915,350,0.886,Irrelevant
Q47,Q47_R27,0.961,301,0.874,Irrelevant
Q47,Q47_R31,0.981,120,0.832,Irrelevant
Q47,Q47_R45,0.976,36,0.828,Irrelevant
Q48,Q48_R4,0.962,295,0.936,Relevant
Q48,Q48_R9,0.925,133,0.955,Relevant
Q48,Q48_R10,0.958,237,0.937,Relevant
Q48,Q48_R15,0.941,16,0.915,Irrelevant
Q48,Q48_R19,0.923,255,0.92,Irrelevant
Q48,Q48_R20,0.878,23,0.917,Irrelevant
Q48,Q48_R28,0.938,7,0.923,Irrelevant
Q48,Q48_R29,0.922,259,0.953,Irrelevant
Q48,Q48_R37,0.956,178,0.942,Irrelevant
Q48,Q48_R39,0.955,198,0.93,Relevant
Q49,Q49_R3,0.87,301,0.933,Irrelevant
Q49,Q49_R4,0.878,161,0.921,Relevant
Q49,Q49_R6,0.864,172,0.931,Relevant
Q49,Q49_R9,0.809,37,0.938,PerfectMatch
Q49,Q49_R15,0.818,32,0.933,PerfectMatch
Q49,Q49_R23,0.85,36,0.942,PerfectMatch
Q49,Q49_R25,0.861,188,0.926,PerfectMatch
Q49,Q49_R28,0.939,80,0.868,Relevant
Q49,Q49_R31,0.822,12,0.937,Relevant
Q49,Q49_R67,0.963,114,0.545,Relevant
Q50,Q50_R1,0.895,112,0.935,Irrelevant
Q50,Q50_R22,0.94,175,0.892,Irrelevant
Q50,Q50_R26,0.846,42,0.953,Irrelevant
Q50,Q50_R28,0.908,15,0.962,Relevant
Q50,Q50_R29,0.877,94,0.949,Relevant
Q50,Q50_R35,0.94,174,0.916,Irrelevant
Q50,Q50_R43,0.939,12,0.947,Irrelevant
Q50,Q50_R51,0.946,147,0.939,Irrelevant
Q50,Q50_R65,0.844,59,0.968,Irrelevant
Q50,Q50_R69,1.0,247,0.0,Irrelevant
Q51,Q51_R12,0.931,117,0.941,PerfectMatch
Q51,Q51_R14,0.909,108,0.962,Irrelevant
Q51,Q51_R17,0.919,7,0.959,Irrelevant
Q51,Q51_R19,0.911,267,0.96,Relevant
Q51,Q51_R24,0.874,220,0.967,Relevant
Q51,Q51_R25,0.913,201,0.957,Relevant
