question1_id,related_comment_id,jaccard_distance,length_difference,cosine_similarity,bigram_similarity,w2v_cosine_similarity,relevance
,Q270_R58_C10,1.000,51,0.836,1.000,0.099,0
,Q270_R62_C1,0.980,210,0.785,1.000,-0.020,0
,Q270_R62_C2,0.939,11,0.896,1.000,0.241,0
,Q270_R62_C3,0.957,256,0.795,1.000,0.028,1
,Q270_R62_C4,1.000,36,0.861,1.000,-0.008,0
,Q270_R62_C5,0.897,29,0.922,1.000,0.288,0
,Q270_R62_C6,0.867,113,0.934,1.000,0.218,1
,Q270_R62_C7,0.909,176,0.943,1.000,0.449,0
,Q270_R62_C8,0.909,242,0.922,1.000,0.202,0
,Q270_R62_C9,0.949,878,0.940,0.995,0.153,1
,Q270_R62_C10,0.932,182,0.937,1.000,0.324,0
,Q270_R64_C1,1.000,13,0.784,1.000,-0.020,0
,Q270_R64_C2,0.980,117,0.885,1.000,0.088,1
,Q270_R64_C3,0.927,54,0.905,1.000,0.538,0
,Q270_R64_C4,0.921,55,0.835,1.000,0.042,0
,Q270_R64_C5,0.936,80,0.897,1.000,0.301,1
,Q270_R64_C6,0.911,109,0.878,1.000,0.216,0
,Q270_R64_C7,0.912,7,0.914,1.000,0.307,0
,Q270_R64_C8,0.903,261,0.957,1.000,0.472,0
,Q270_R64_C9,0.944,8,0.918,1.000,0.501,1
,Q270_R64_C10,0.930,380,0.920,1.000,0.254,1
,Q270_R79_C1,1.000,47,0.000,1.000,0.017,1
,Q270_R79_C2,0.958,59,0.771,1.000,0.220,1
,Q270_R79_C3,0.923,49,0.879,1.000,0.410,0
,Q270_R79_C4,0.933,29,0.837,1.000,0.045,1
,Q270_R79_C5,0.882,0,0.912,0.974,0.403,1
,Q270_R79_C6,0.938,16,0.914,1.000,0.308,0
,Q270_R79_C7,1.000,71,0.000,1.000,0.078,1
,Q270_R79_C8,0.815,33,0.926,0.938,0.509,0
,Q270_R79_C9,0.939,3,0.908,1.000,0.257,1
,Q270_R79_C10,0.939,3,0.908,1.000,0.257,1
,Q270_R84_C1,1.000,76,0.557,1.000,0.030,0
,Q270_R84_C2,0.933,182,0.940,1.000,0.307,0
,Q270_R84_C3,0.971,5,0.856,1.000,0.055,0
,Q270_R84_C4,0.967,30,0.918,1.000,0.467,0
,Q270_R84_C5,0.938,10,0.791,1.000,0.025,0
,Q270_R84_C6,1.000,27,0.840,1.000,0.323,0
,Q270_R84_C7,1.000,67,0.349,1.000,0.121,0
,Q270_R84_C8,0.957,80,0.864,1.000,0.010,0
,Q270_R84_C9,0.955,225,0.940,1.000,0.387,0
,Q270_R84_C10,1.000,41,0.610,1.000,-0.096,0
,Q270_R96_C1,0.946,36,0.804,1.000,0.164,0
,Q270_R96_C2,0.923,482,0.945,1.000,0.344,0
,Q270_R96_C3,0.951,20,0.943,1.000,0.461,0
,Q270_R96_C4,0.870,145,0.947,0.985,0.417,0
,Q270_R96_C5,0.945,140,0.941,1.000,0.328,0
,Q270_R96_C6,1.000,36,0.825,1.000,0.215,0
,Q270_R96_C7,1.000,69,0.645,1.000,0.085,0
,Q270_R96_C8,0.951,28,0.883,1.000,0.412,0
,Q270_R96_C9,0.900,12,0.927,0.970,0.374,0
,Q270_R96_C10,1.000,22,0.766,1.000,0.171,0
,Q271_R4_C1,0.943,0,0.911,1.000,0.215,1
,Q271_R4_C2,1.000,119,0.846,1.000,0.290,0
,Q271_R4_C3,0.953,74,0.851,1.000,0.124,1
,Q271_R4_C4,0.854,20,0.947,1.000,0.600,0
,Q271_R4_C5,0.842,74,0.889,0.962,0.289,0
,Q271_R4_C6,0.921,98,0.875,1.000,0.469,1
,Q271_R4_C7,0.894,72,0.938,0.989,0.311,0
,Q271_R4_C8,0.837,28,0.951,1.000,0.506,0
,Q271_R4_C9,0.930,55,0.927,0.982,0.424,1
,Q271_R4_C10,0.910,657,0.949,0.985,0.491,1
,Q271_R14_C1,0.978,40,0.933,1.000,0.300,1
,Q271_R14_C2,0.913,40,0.911,1.000,0.252,0
,Q271_R14_C3,0.946,105,0.873,1.000,0.207,0
,Q271_R14_C4,0.900,138,0.857,1.000,0.296,0
,Q271_R14_C5,0.921,80,0.889,1.000,0.387,0
,Q271_R14_C6,0.873,16,0.941,0.974,0.692,1
,Q271_R14_C7,0.931,18,0.906,0.986,0.329,1
,Q271_R14_C8,0.959,9,0.852,1.000,-0.134,1
,Q271_R14_C9,0.909,127,0.881,0.978,0.496,0
,Q271_R14_C10,0.902,237,0.938,1.000,0.393,0
,Q271_R24_C1,0.833,207,0.946,0.984,0.434,0
,Q271_R24_C2,0.945,735,0.910,1.000,0.164,0
,Q271_R24_C3,0.919,103,0.923,1.000,0.434,0
,Q271_R24_C4,0.946,84,0.880,1.000,0.219,0
,Q271_R24_C5,0.974,109,0.816,1.000,0.282,0
,Q271_R24_C6,0.899,283,0.942,1.000,0.412,0
,Q271_R24_C7,0.953,73,0.913,1.000,0.340,0
,Q271_R24_C8,0.975,88,0.917,1.000,0.473,0
,Q271_R24_C9,0.977,240,0.813,1.000,0.056,0
,Q271_R24_C10,0.908,388,0.935,1.000,0.287,0
,Q271_R38_C1,0.911,137,0.923,1.000,0.523,0
,Q271_R38_C2,0.839,108,0.947,0.978,0.568,0
,Q271_R38_C3,0.884,268,0.947,0.992,0.581,0
,Q271_R38_C4,0.949,320,0.910,1.000,0.174,0
,Q271_R38_C5,0.937,61,0.919,1.000,0.487,0
,Q271_R38_C6,0.957,61,0.912,1.000,0.439,0
,Q271_R38_C7,0.880,17,0.913,1.000,0.249,0
,Q271_R38_C8,0.901,411,0.945,1.000,0.445,0
,Q271_R38_C9,0.923,81,0.905,1.000,0.516,0
,Q271_R38_C10,0.952,40,0.922,1.000,0.370,0
,Q271_R57_C1,1.000,66,0.872,1.000,0.308,0
,Q271_R57_C2,0.938,8,0.909,1.000,0.458,0
,Q271_R57_C3,0.895,51,0.912,0.988,0.495,0
,Q271_R57_C4,0.941,107,0.830,1.000,0.368,0
,Q271_R57_C5,1.000,135,0.820,1.000,0.113,0
,Q271_R57_C6,0.973,114,0.876,1.000,0.443,0
,Q271_R57_C7,0.974,81,0.839,1.000,0.217,0
,Q271_R57_C8,0.877,88,0.948,0.977,0.563,0
,Q271_R57_C9,0.967,142,0.791,1.000,0.333,0
,Q271_R57_C10,0.914,300,0.937,0.976,0.344,0
,Q271_R59_C1,0.949,847,0.906,1.000,0.064,0
,Q271_R59_C2,0.941,116,0.772,1.000,0.336,0
,Q271_R59_C3,0.882,356,0.949,0.986,0.551,0
,Q271_R59_C4,0.955,46,0.895,1.000,0.149,0
,Q271_R59_C5,1.000,82,0.866,1.000,0.307,0
,Q271_R59_C6,0.940,47,0.887,1.000,0.256,0
,Q271_R59_C7,0.900,167,0.899,1.000,0.198,0
,Q271_R59_C8,0.900,167,0.899,1.000,0.198,0
,Q271_R59_C9,0.900,167,0.899,1.000,0.198,0
,Q271_R59_C10,0.936,688,0.941,0.995,0.414,0
,Q271_R63_C1,0.906,145,0.943,1.000,0.264,0
,Q271_R63_C2,1.000,88,0.888,1.000,0.360,0
,Q271_R63_C3,0.940,14,0.901,1.000,0.279,0
,Q271_R63_C4,0.941,151,0.930,1.000,0.392,0
,Q271_R63_C5,0.902,88,0.932,0.978,0.469,0
,Q271_R63_C6,0.875,71,0.891,0.982,0.337,0
,Q271_R63_C7,0.977,52,0.895,1.000,0.305,0
,Q271_R63_C8,0.909,241,0.946,1.000,0.424,0
,Q271_R63_C9,0.935,72,0.915,1.000,0.278,0
,Q271_R63_C10,0.885,38,0.909,1.000,0.459,0
,Q271_R70_C1,0.909,16,0.927,1.000,0.457,0
,Q271_R70_C2,1.000,91,0.872,1.000,0.414,0
,Q271_R70_C3,0.917,4,0.924,1.000,0.389,0
,Q271_R70_C4,0.956,68,0.798,1.000,0.145,0
,Q271_R70_C5,1.000,95,0.867,1.000,-0.025,0
,Q271_R70_C6,0.944,80,0.929,1.000,0.538,1
,Q271_R70_C7,0.974,103,0.892,1.000,0.272,0
,Q271_R70_C8,0.940,436,0.917,1.000,0.288,0
,Q271_R70_C9,0.893,182,0.948,0.971,0.543,0
,Q271_R70_C10,0.922,3,0.918,1.000,0.435,0
,Q271_R71_C1,0.947,53,0.880,1.000,0.306,0
,Q271_R71_C2,0.945,728,0.943,0.995,0.428,0
,Q271_R71_C3,0.915,272,0.926,1.000,0.282,0
,Q271_R71_C4,0.959,768,0.918,1.000,0.082,0
,Q271_R71_C5,0.952,67,0.923,1.000,0.354,0
,Q271_R71_C6,0.934,663,0.953,1.000,0.462,0
,Q271_R71_C7,0.912,12,0.912,0.986,0.480,0
,Q271_R71_C8,0.895,210,0.946,0.991,0.528,0
,Q271_R71_C9,0.928,847,0.945,0.996,0.277,0
,Q271_R71_C10,0.911,321,0.925,0.984,0.240,0
,Q271_R74_C1,0.938,134,0.864,1.000,0.392,0
,Q271_R74_C2,0.918,38,0.943,1.000,0.428,0
,Q271_R74_C3,1.000,140,0.787,1.000,0.314,0
,Q271_R74_C4,0.943,100,0.863,1.000,0.346,0
,Q271_R74_C5,0.921,62,0.930,1.000,0.439,0
,Q271_R74_C6,0.914,283,0.910,1.000,0.210,0
,Q271_R74_C7,0.911,433,0.930,1.000,0.192,0
,Q271_R74_C8,0.955,525,0.910,1.000,0.023,0
,Q271_R74_C9,0.922,359,0.920,1.000,0.244,0
,Q271_R74_C10,1.000,54,0.432,1.000,-0.106,0
,Q272_R8_C1,0.913,150,0.972,0.993,0.400,1
,Q272_R8_C2,0.947,354,0.918,1.000,0.463,0
,Q272_R8_C3,0.869,259,0.962,0.995,0.316,1
,Q272_R8_C4,0.948,346,0.956,1.000,0.577,0
,Q272_R8_C5,0.874,224,0.957,0.995,0.348,1
,Q272_R8_C6,0.974,356,0.923,1.000,0.492,0
,Q272_R8_C7,0.858,276,0.976,0.995,0.461,0
,Q272_R8_C8,0.864,68,0.970,0.983,0.481,1
,Q272_R8_C9,0.880,2,0.977,0.994,0.455,0
,Q272_R8_C10,0.886,150,0.965,1.000,0.525,1
,Q272_R14_C1,0.970,416,0.869,1.000,0.402,1
,Q272_R14_C2,0.942,402,0.887,1.000,0.315,1
,Q272_R14_C3,0.890,348,0.948,1.000,0.454,1
,Q272_R14_C4,0.963,344,0.950,1.000,0.435,1
,Q272_R14_C5,0.956,407,0.846,1.000,0.200,0
,Q272_R14_C6,0.972,386,0.894,1.000,0.334,0
,Q272_R14_C7,0.912,394,0.941,1.000,0.595,0
,Q272_R14_C8,1.000,425,0.524,1.000,0.083,0
,Q272_R14_C9,0.918,372,0.932,1.000,0.673,0
,Q272_R14_C10,0.966,283,0.954,1.000,0.201,0
,Q272_R15_C1,0.948,353,0.890,1.000,0.121,1
,Q272_R15_C2,0.962,352,0.895,1.000,0.472,0
,Q272_R15_C3,0.957,270,0.930,1.000,0.207,1
,Q272_R15_C4,0.949,331,0.871,1.000,0.273,0
,Q272_R15_C5,0.922,335,0.924,1.000,0.410,1
,Q272_R15_C6,0.914,306,0.924,1.000,0.461,1
,Q272_R15_C7,0.844,158,0.953,1.000,0.391,0
,Q272_R15_C8,0.987,368,0.807,1.000,0.165,0
,Q272_R15_C9,0.935,346,0.925,1.000,0.341,1
,Q272_R15_C10,0.959,380,0.919,1.000,0.589,0
,Q272_R23_C1,0.957,410,0.810,1.000,0.093,0
,Q272_R23_C2,0.885,42,0.956,1.000,0.373,1
,Q272_R23_C3,0.861,5,0.940,0.994,0.415,1
,Q272_R23_C4,0.946,365,0.941,1.000,0.360,0
,Q272_R23_C5,0.840,108,0.975,0.993,0.667,0
,Q272_R23_C6,0.908,349,0.918,0.990,0.579,0
,Q272_R23_C7,0.908,349,0.918,0.990,0.579,0
,Q272_R23_C8,0.942,306,0.911,1.000,0.484,0
,Q272_R23_C9,0.962,353,0.947,1.000,0.350,0
,Q272_R23_C10,0.962,353,0.947,1.000,0.350,0
,Q272_R30_C1,1.000,222,0.580,1.000,-0.094,0
,Q272_R30_C2,0.973,374,0.901,1.000,0.249,0
,Q272_R30_C3,0.950,332,0.929,1.000,0.277,0
,Q272_R30_C4,0.965,310,0.924,1.000,0.323,0
,Q272_R30_C5,0.900,255,0.949,1.000,0.382,1
,Q272_R30_C6,0.923,264,0.920,1.000,0.242,0
