original_id,related_question_id,jaccard_distance,length_difference,cosine_similarity,bigram_similarity,w2v_cosine_similarity,relevance
Q272,Q272_R34,0.865,68,0.954,1.0,0.462,Relevant
Q272,Q272_R40,0.786,7,0.987,0.983,0.727,Relevant
Q272,Q272_R51,0.839,173,0.979,0.969,0.611,Relevant
Q272,Q272_R52,0.925,147,0.935,1.0,0.323,Irrelevant
Q273,Q273_R3,0.89,78,0.926,1.0,0.405,PerfectMatch
Q273,Q273_R5,0.844,67,0.964,1.0,0.47,PerfectMatch
Q273,Q273_R7,0.918,78,0.96,0.984,0.281,Irrelevant
Q273,Q273_R8,0.882,7,0.967,1.0,0.468,Relevant
Q273,Q273_R9,1.0,214,0.864,1.0,0.256,Relevant
Q273,Q273_R33,0.948,199,0.933,1.0,0.303,Irrelevant
Q273,Q273_R39,0.923,22,0.949,1.0,0.361,Relevant
Q273,Q273_R56,0.878,151,0.959,0.993,0.371,Irrelevant
Q273,Q273_R60,0.905,79,0.932,0.99,0.441,Irrelevant
Q273,Q273_R76,0.904,89,0.955,1.0,0.287,Irrelevant
Q274,Q274_R1,0.842,239,0.968,1.0,0.562,PerfectMatch
Q274,Q274_R3,0.814,112,0.975,0.978,0.673,Relevant
Q274,Q274_R7,0.917,234,0.937,0.991,0.499,PerfectMatch
Q274,Q274_R20,0.901,153,0.929,1.0,0.425,Irrelevant
Q274,Q274_R41,0.881,205,0.95,0.991,0.441,Relevant
Q274,Q274_R56,0.861,89,0.973,1.0,0.546,Relevant
Q274,Q274_R60,0.886,206,0.96,1.0,0.349,Irrelevant
Q274,Q274_R61,0.824,79,0.97,0.993,0.351,Irrelevant
Q274,Q274_R68,0.945,323,0.924,1.0,0.583,Relevant
Q275,Q275_R9,0.952,143,0.89,1.0,0.26,Irrelevant
Q275,Q275_R15,0.951,112,0.883,1.0,0.237,PerfectMatch
Q275,Q275_R16,0.925,39,0.909,0.988,0.366,Relevant
Q275,Q275_R24,0.869,36,0.917,1.0,0.435,Irrelevant
Q275,Q275_R27,0.984,127,0.89,1.0,0.356,Relevant
Q275,Q275_R32,0.921,82,0.892,1.0,0.313,Irrelevant
Q275,Q275_R34,0.903,159,0.901,1.0,0.299,Relevant
Q275,Q275_R44,0.978,232,0.773,1.0,0.087,Irrelevant
Q275,Q275_R48,0.918,22,0.895,1.0,0.408,Relevant
Q276,Q276_R6,0.922,127,0.921,1.0,0.426,Irrelevant
Q276,Q276_R8,0.882,134,0.918,0.99,0.356,Irrelevant
Q276,Q276_R11,0.864,31,0.952,0.966,0.378,Irrelevant
Q276,Q276_R18,0.912,134,0.914,1.0,0.221,Irrelevant
Q276,Q276_R24,0.857,143,0.943,0.994,0.349,Irrelevant
Q276,Q276_R26,0.952,194,0.92,1.0,0.339,Irrelevant
Q276,Q276_R27,0.87,17,0.932,1.0,0.278,Irrelevant
Q276,Q276_R32,0.903,110,0.897,0.989,0.195,Irrelevant
Q276,Q276_R36,0.965,58,0.925,1.0,0.246,Irrelevant
Q276,Q276_R37,0.984,204,0.872,1.0,0.079,Irrelevant
Q277,Q277_R4,0.887,170,0.902,0.972,0.122,Relevant
Q277,Q277_R5,0.899,111,0.973,1.0,0.631,Relevant
Q277,Q277_R7,0.86,109,0.879,0.982,0.481,PerfectMatch
Q277,Q277_R13,0.875,17,0.936,0.976,0.623,Relevant
Q277,Q277_R17,0.772,17,0.957,0.934,0.725,PerfectMatch
Q277,Q277_R19,0.947,59,0.884,1.0,0.407,Relevant
Q277,Q277_R21,0.893,193,0.96,0.991,0.425,Irrelevant
Q277,Q277_R25,0.871,63,0.968,1.0,0.582,Irrelevant
Q277,Q277_R27,0.867,201,0.899,0.991,0.274,Irrelevant
Q277,Q277_R33,0.845,25,0.946,1.0,0.624,Irrelevant
Q278,Q278_R7,0.91,82,0.935,1.0,0.37,Relevant
Q278,Q278_R14,0.9,236,0.94,0.993,0.402,Relevant
Q278,Q278_R17,0.894,68,0.937,0.982,0.406,Irrelevant
Q278,Q278_R28,0.926,172,0.9,0.984,0.332,Irrelevant
Q278,Q278_R34,0.901,7,0.906,0.989,0.186,Irrelevant
Q278,Q278_R37,0.951,17,0.929,1.0,0.305,Irrelevant
Q278,Q278_R41,0.927,165,0.918,1.0,0.424,Irrelevant
Q278,Q278_R45,0.94,177,0.851,1.0,0.189,Irrelevant
Q278,Q278_R48,0.892,183,0.941,1.0,0.34,Irrelevant
Q278,Q278_R52,0.964,133,0.908,1.0,0.19,Irrelevant
Q279,Q279_R5,0.933,179,0.922,1.0,0.448,Relevant
Q279,Q279_R6,0.935,75,0.93,1.0,0.339,Relevant
Q279,Q279_R8,0.873,208,0.956,0.958,0.55,PerfectMatch
Q279,Q279_R10,0.933,67,0.909,1.0,0.373,Relevant
Q279,Q279_R18,0.933,197,0.912,1.0,0.419,Irrelevant
Q279,Q279_R27,0.918,123,0.927,1.0,0.357,Relevant
Q279,Q279_R28,0.974,58,0.899,1.0,0.363,Relevant
Q279,Q279_R30,0.949,342,0.906,1.0,0.064,Irrelevant
Q279,Q279_R33,0.94,303,0.902,0.99,0.172,Irrelevant
Q279,Q279_R36,0.932,178,0.91,0.986,0.201,Irrelevant
Q280,Q280_R5,0.86,22,0.942,1.0,0.612,Relevant
Q280,Q280_R11,0.841,89,0.941,0.988,0.568,PerfectMatch
Q280,Q280_R19,0.929,76,0.906,1.0,0.432,Irrelevant
Q280,Q280_R21,0.938,88,0.899,1.0,0.29,Relevant
Q280,Q280_R39,0.887,67,0.927,1.0,0.206,Irrelevant
Q280,Q280_R41,0.951,72,0.849,1.0,0.216,Irrelevant
Q280,Q280_R45,0.918,211,0.945,1.0,0.484,Irrelevant
Q280,Q280_R46,0.897,29,0.919,0.985,0.349,Irrelevant
Q280,Q280_R48,0.896,129,0.899,1.0,0.32,Irrelevant
Q280,Q280_R67,0.912,44,0.899,1.0,0.495,Irrelevant
Q281,Q281_R32,0.919,81,0.94,1.0,0.2,Relevant
Q281,Q281_R37,0.853,137,0.966,0.985,0.275,Irrelevant
Q281,Q281_R38,0.914,111,0.946,1.0,0.429,Relevant
Q281,Q281_R40,0.903,120,0.954,0.992,0.323,Irrelevant
Q281,Q281_R45,0.877,20,0.94,1.0,0.279,Irrelevant
Q281,Q281_R49,0.945,198,0.835,1.0,0.013,Irrelevant
Q281,Q281_R56,0.943,222,0.861,1.0,0.19,Irrelevant
Q281,Q281_R58,0.908,37,0.942,0.989,0.059,Irrelevant
Q281,Q281_R59,0.933,20,0.92,1.0,0.127,Irrelevant
Q281,Q281_R61,0.864,183,0.961,0.993,0.393,Irrelevant
Q282,Q282_R6,0.815,97,0.946,0.976,0.625,Irrelevant
Q282,Q282_R9,0.872,26,0.96,0.96,0.686,PerfectMatch
Q282,Q282_R12,0.821,14,0.971,0.98,0.652,PerfectMatch
Q282,Q282_R14,0.787,10,0.972,0.981,0.671,Relevant
Q282,Q282_R16,0.969,130,0.976,1.0,0.485,Irrelevant
Q282,Q282_R17,0.77,86,0.968,0.935,0.726,Relevant
Q282,Q282_R18,0.825,43,0.965,0.991,0.575,Relevant
Q282,Q282_R35,0.866,130,0.962,1.0,0.455,Irrelevant
Q282,Q282_R36,0.798,40,0.969,0.982,0.641,Irrelevant
Q282,Q282_R38,0.857,129,0.924,1.0,0.292,Irrelevant
Q283,Q283_R7,0.896,15,0.923,0.99,0.138,Relevant
Q283,Q283_R9,0.99,130,0.955,1.0,0.446,PerfectMatch
Q283,Q283_R12,0.891,132,0.935,1.0,0.222,Relevant
Q283,Q283_R25,0.908,13,0.918,1.0,0.15,Irrelevant
Q283,Q283_R26,0.869,132,0.928,0.983,0.15,Irrelevant
Q283,Q283_R31,0.938,92,0.948,1.0,0.351,Irrelevant
Q283,Q283_R35,0.953,162,0.923,0.992,0.035,Irrelevant
Q283,Q283_R36,0.938,78,0.925,1.0,0.139,Irrelevant
Q283,Q283_R39,0.951,153,0.881,1.0,0.281,Irrelevant
Q283,Q283_R52,0.882,2,0.949,0.99,0.406,Irrelevant
Q284,Q284_R8,0.893,177,0.961,0.993,0.448,Irrelevant
Q284,Q284_R29,0.903,205,0.91,1.0,0.344,Irrelevant
Q284,Q284_R33,0.882,10,0.924,0.991,0.347,Irrelevant
Q284,Q284_R38,0.922,197,0.888,1.0,0.368,Irrelevant
Q284,Q284_R44,0.967,216,0.924,1.0,0.266,Irrelevant
Q284,Q284_R51,0.91,144,0.913,0.988,0.309,Irrelevant
Q284,Q284_R59,0.949,226,0.878,1.0,0.33,Irrelevant
Q284,Q284_R63,0.833,44,0.965,0.97,0.462,Irrelevant
Q284,Q284_R66,0.901,112,0.954,1.0,0.417,Irrelevant
Q284,Q284_R69,0.889,50,0.952,1.0,0.44,Irrelevant
Q285,Q285_R4,0.953,295,0.912,1.0,0.272,PerfectMatch
Q285,Q285_R7,0.952,271,0.923,1.0,0.43,Irrelevant
Q285,Q285_R8,1.0,153,0.859,1.0,0.165,Irrelevant
Q285,Q285_R12,0.922,195,0.922,1.0,0.462,Irrelevant
Q285,Q285_R20,0.975,90,0.922,1.0,0.439,Irrelevant
Q285,Q285_R25,0.941,355,0.916,1.0,0.357,Irrelevant
Q285,Q285_R26,1.0,154,0.847,1.0,0.122,Irrelevant
Q285,Q285_R33,1.0,101,0.843,1.0,0.194,Irrelevant
Q285,Q285_R36,0.972,122,0.918,1.0,0.253,Irrelevant
Q285,Q285_R37,0.964,260,0.884,1.0,0.176,Irrelevant
Q286,Q286_R1,0.842,182,0.908,0.908,0.551,PerfectMatch
Q286,Q286_R8,0.908,223,0.932,1.0,0.697,PerfectMatch
Q286,Q286_R13,0.932,105,0.91,1.0,0.611,Relevant
Q286,Q286_R21,0.786,76,0.963,0.942,0.781,PerfectMatch
Q286,Q286_R25,0.9,112,0.907,1.0,0.661,Relevant
Q286,Q286_R31,0.953,57,0.876,1.0,0.353,Irrelevant
Q286,Q286_R36,0.943,373,0.925,1.0,0.437,Irrelevant
Q286,Q286_R39,0.85,55,0.91,0.979,0.537,Irrelevant
Q286,Q286_R49,0.873,322,0.924,0.99,0.66,PerfectMatch
Q286,Q286_R52,0.934,203,0.891,1.0,0.245,Irrelevant
Q287,Q287_R6,0.913,154,0.922,1.0,0.53,PerfectMatch
Q287,Q287_R10,0.924,160,0.966,1.0,0.56,PerfectMatch
Q287,Q287_R11,0.88,41,0.958,1.0,0.516,Irrelevant
Q287,Q287_R12,0.857,119,0.931,1.0,0.479,PerfectMatch
Q287,Q287_R13,0.844,25,0.964,1.0,0.622,Relevant
Q287,Q287_R14,0.952,164,0.827,1.0,0.149,Irrelevant
Q287,Q287_R19,0.893,94,0.952,1.0,0.732,Relevant
Q287,Q287_R20,0.944,127,0.923,1.0,0.381,Irrelevant
Q287,Q287_R22,0.969,21,0.945,1.0,0.482,Relevant
Q287,Q287_R23,0.94,134,0.95,1.0,0.582,Irrelevant
Q288,Q288_R2,0.87,96,0.958,1.0,0.422,Relevant
Q288,Q288_R3,0.85,22,0.936,1.0,0.515,Relevant
Q288,Q288_R13,0.829,15,0.914,1.0,0.505,Relevant
Q288,Q288_R18,0.907,85,0.941,1.0,0.429,Relevant
Q288,Q288_R20,0.939,281,0.917,1.0,0.365,Relevant
Q288,Q288_R30,0.909,123,0.932,1.0,0.302,Irrelevant
Q288,Q288_R39,0.9,296,0.956,1.0,0.369,Irrelevant
Q288,Q288_R49,0.94,44,0.893,1.0,0.276,Irrelevant
Q288,Q288_R54,0.879,108,0.945,0.986,0.487,Relevant
Q288,Q288_R61,0.885,82,0.945,1.0,0.494,Irrelevant
Q289,Q289_R3,0.887,228,0.943,1.0,0.367,Irrelevant
Q289,Q289_R5,0.818,161,0.964,0.952,0.66,Relevant
Q289,Q289_R6,0.908,220,0.935,1.0,0.411,Relevant
Q289,Q289_R13,0.914,325,0.93,0.982,0.465,Relevant
Q289,Q289_R14,0.891,21,0.918,1.0,0.193,Irrelevant
Q289,Q289_R22,0.936,219,0.944,1.0,0.444,Relevant
Q289,Q289_R26,0.955,19,0.909,1.0,0.307,Irrelevant
Q289,Q289_R30,0.902,95,0.943,0.973,0.427,Irrelevant
Q289,Q289_R31,0.943,65,0.911,1.0,0.446,Irrelevant
Q289,Q289_R35,0.939,62,0.854,1.0,0.061,Relevant
Q290,Q290_R4,0.899,108,0.955,1.0,0.456,Irrelevant
Q290,Q290_R11,0.909,18,0.913,1.0,0.236,Relevant
Q290,Q290_R12,0.923,104,0.932,0.989,0.41,Relevant
Q290,Q290_R14,0.885,229,0.959,0.992,0.582,Relevant
Q290,Q290_R16,0.956,13,0.954,1.0,0.462,Relevant
Q290,Q290_R19,0.877,74,0.961,1.0,0.406,Irrelevant
Q290,Q290_R21,0.941,103,0.925,1.0,0.535,Irrelevant
Q290,Q290_R23,0.923,80,0.92,1.0,0.607,Relevant
Q290,Q290_R28,0.902,32,0.873,1.0,0.513,Irrelevant
Q290,Q290_R32,0.926,114,0.901,1.0,0.492,Relevant
Q291,Q291_R6,0.892,38,0.975,1.0,0.47,Relevant
Q291,Q291_R8,0.916,222,0.927,1.0,0.228,Relevant
Q291,Q291_R13,0.824,190,0.963,0.992,0.443,Irrelevant
Q291,Q291_R21,0.867,19,0.973,0.981,0.276,Irrelevant
Q291,Q291_R28,0.898,18,0.95,0.993,0.29,Irrelevant
Q291,Q291_R34,0.878,269,0.928,0.98,0.435,Relevant
Q291,Q291_R35,0.885,247,0.952,1.0,0.412,Relevant
Q291,Q291_R36,0.88,3,0.964,1.0,0.321,Irrelevant
Q291,Q291_R41,0.895,290,0.928,1.0,0.362,Irrelevant
Q291,Q291_R45,0.841,150,0.968,0.968,0.408,Irrelevant
Q292,Q292_R7,0.901,177,0.95,1.0,0.347,Irrelevant
Q292,Q292_R9,0.891,34,0.931,1.0,0.481,Relevant
Q292,Q292_R10,0.944,53,0.924,1.0,0.419,Relevant
Q292,Q292_R16,0.872,50,0.944,0.981,0.637,Irrelevant
Q292,Q292_R19,0.879,138,0.949,0.975,0.33,Relevant
Q292,Q292_R37,0.846,18,0.942,0.978,0.466,Irrelevant
Q292,Q292_R39,0.944,42,0.903,1.0,0.198,Irrelevant
Q292,Q292_R44,0.937,195,0.923,1.0,0.341,Irrelevant
Q292,Q292_R49,0.928,185,0.947,0.989,0.286,Irrelevant
Q292,Q292_R51,0.864,17,0.913,1.0,0.461,Irrelevant
Q293,Q293_R3,0.853,96,0.933,0.919,0.5,PerfectMatch
Q293,Q293_R10,0.878,11,0.961,0.983,0.433,Relevant
Q293,Q293_R12,0.913,16,0.922,1.0,0.342,PerfectMatch
Q293,Q293_R26,0.926,10,0.956,1.0,0.489,Irrelevant
Q293,Q293_R28,0.925,158,0.942,1.0,0.287,Irrelevant
Q293,Q293_R29,0.867,30,0.958,0.982,0.455,Irrelevant
Q293,Q293_R32,0.904,5,0.963,1.0,0.466,PerfectMatch
Q293,Q293_R51,0.873,44,0.925,1.0,0.066,Relevant
Q293,Q293_R58,0.929,9,0.887,1.0,0.314,Irrelevant
Q293,Q293_R60,0.96,15,0.928,1.0,0.252,Irrelevant
Q294,Q294_R2,0.818,113,0.916,0.974,0.664,PerfectMatch
Q294,Q294_R12,0.944,103,0.921,1.0,0.598,Irrelevant
Q294,Q294_R13,0.886,153,0.939,0.975,0.553,Irrelevant
Q294,Q294_R24,0.957,207,0.903,1.0,0.428,Irrelevant
Q294,Q294_R26,0.857,265,0.924,0.973,0.602,Irrelevant
Q294,Q294_R46,0.906,298,0.914,0.964,0.569,PerfectMatch
Q294,Q294_R47,0.885,331,0.937,0.987,0.578,Relevant
Q294,Q294_R86,0.944,300,0.932,0.985,0.538,Relevant
Q294,Q294_R94,0.945,317,0.93,0.986,0.536,Relevant
Q294,Q294_R98,0.931,314,0.917,0.987,0.602,Irrelevant
Q295,Q295_R17,0.862,10,0.921,1.0,0.234,Irrelevant
Q295,Q295_R28,0.918,159,0.924,1.0,0.233,Irrelevant
Q295,Q295_R31,0.933,60,0.924,1.0,0.357,Irrelevant
Q295,Q295_R32,0.898,206,0.936,1.0,0.286,Irrelevant
Q295,Q295_R38,0.976,153,0.772,1.0,0.031,Irrelevant
Q295,Q295_R40,0.932,51,0.902,1.0,0.127,Irrelevant
Q295,Q295_R42,0.871,3,0.893,0.989,0.225,Irrelevant
Q295,Q295_R50,0.917,96,0.887,1.0,0.191,Irrelevant
Q295,Q295_R61,0.912,65,0.927,1.0,0.157,Irrelevant
Q295,Q295_R63,0.989,235,0.81,1.0,-0.049,Irrelevant
Q296,Q296_R17,0.857,20,0.905,1.0,0.505,PerfectMatch
Q296,Q296_R21,0.885,167,0.933,0.985,0.43,Relevant
Q296,Q296_R22,0.837,99,0.946,1.0,0.526,PerfectMatch
Q296,Q296_R26,0.94,370,0.938,1.0,0.318,PerfectMatch
Q296,Q296_R27,0.88,132,0.895,0.983,0.311,Relevant
Q296,Q296_R45,0.952,225,0.941,1.0,0.313,Irrelevant
Q296,Q296_R50,0.909,260,0.95,0.989,0.382,PerfectMatch
Q296,Q296_R51,0.871,255,0.934,1.0,0.453,Relevant
Q296,Q296_R52,0.891,246,0.935,1.0,0.356,Irrelevant
Q296,Q296_R54,0.87,115,0.926,0.983,0.419,PerfectMatch
Q297,Q297_R1,0.896,36,0.946,1.0,0.398,Relevant
Q297,Q297_R17,0.885,188,0.942,0.988,0.354,Irrelevant
Q297,Q297_R22,0.855,150,0.939,1.0,0.435,Irrelevant
Q297,Q297_R31,0.894,211,0.962,1.0,0.517,Irrelevant
Q297,Q297_R32,0.939,79,0.867,1.0,0.395,Irrelevant
Q297,Q297_R33,0.895,79,0.956,0.986,0.301,Irrelevant
Q297,Q297_R39,0.904,187,0.93,1.0,0.335,Irrelevant
Q297,Q297_R43,0.917,48,0.927,1.0,0.428,Irrelevant
Q297,Q297_R48,1.0,85,0.814,1.0,0.01,Irrelevant
Q297,Q297_R56,0.864,122,0.947,0.988,0.553,Irrelevant
Q298,Q298_R5,0.886,3,0.918,0.989,0.285,Irrelevant
Q298,Q298_R7,0.985,408,0.841,1.0,0.27,Irrelevant
Q298,Q298_R20,0.938,285,0.873,1.0,0.233,Irrelevant
Q298,Q298_R32,0.892,231,0.909,1.0,0.327,Irrelevant
Q298,Q298_R45,0.898,90,0.896,1.0,0.046,Irrelevant
Q298,Q298_R47,0.88,10,0.902,1.0,0.253,Irrelevant
Q298,Q298_R48,0.94,289,0.88,1.0,-0.151,Irrelevant
Q298,Q298_R53,0.925,25,0.869,1.0,0.058,Irrelevant
Q298,Q298_R54,0.92,256,0.878,1.0,0.041,Irrelevant
Q298,Q298_R62,0.988,318,0.827,1.0,0.109,Irrelevant
Q299,Q299_R4,0.875,20,0.647,1.0,0.158,PerfectMatch
Q299,Q299_R5,0.903,112,0.924,1.0,0.65,PerfectMatch
Q299,Q299_R6,0.929,12,0.862,1.0,0.214,Irrelevant
Q299,Q299_R8,0.97,123,0.854,1.0,0.198,Irrelevant
Q299,Q299_R15,0.92,292,0.905,1.0,0.493,PerfectMatch
Q299,Q299_R18,0.75,36,0.95,0.882,0.712,Relevant
Q299,Q299_R23,0.944,449,0.944,1.0,0.483,Relevant
Q299,Q299_R37,0.941,330,0.924,1.0,0.53,Irrelevant
Q299,Q299_R38,0.957,215,0.908,1.0,0.557,Irrelevant
Q299,Q299_R40,0.962,63,0.905,1.0,0.524,Irrelevant
Q300,Q300_R18,0.952,275,0.889,1.0,0.139,Irrelevant
Q300,Q300_R23,0.947,287,0.933,1.0,0.255,Irrelevant
Q300,Q300_R30,0.972,315,0.922,1.0,0.184,Irrelevant
Q300,Q300_R37,0.957,79,0.917,1.0,0.321,Irrelevant
Q300,Q300_R41,0.943,13,0.934,1.0,0.285,Irrelevant
Q300,Q300_R49,0.946,23,0.888,1.0,0.231,Relevant
Q300,Q300_R50,0.952,193,0.932,1.0,0.389,Irrelevant
Q300,Q300_R54,0.952,204,0.935,0.987,0.247,Irrelevant
Q300,Q300_R55,0.952,202,0.92,1.0,0.161,Irrelevant
Q300,Q300_R56,0.96,285,0.937,1.0,0.4,Relevant
Q301,Q301_R2,0.917,117,0.911,1.0,0.617,Relevant
Q301,Q301_R5,0.917,105,0.895,1.0,0.606,Relevant
Q301,Q301_R22,1.0,7,0.742,1.0,0.14,Irrelevant
Q301,Q301_R27,0.952,110,0.848,1.0,0.302,Irrelevant
Q301,Q301_R36,0.968,245,0.87,1.0,0.283,Irrelevant
Q301,Q301_R39,0.96,180,0.87,1.0,0.342,Irrelevant
Q301,Q301_R40,0.957,10,0.82,1.0,0.299,Irrelevant
Q301,Q301_R48,1.0,15,0.0,1.0,0.166,Irrelevant
Q301,Q301_R64,0.983,212,0.811,1.0,0.344,Irrelevant
Q302,Q302_R9,0.885,78,0.942,0.983,0.652,PerfectMatch
Q302,Q302_R12,0.787,114,0.975,0.948,0.675,Irrelevant
Q302,Q302_R13,0.842,24,0.968,0.98,0.739,PerfectMatch
Q302,Q302_R16,0.931,27,0.954,1.0,0.714,Irrelevant
Q302,Q302_R21,0.968,120,0.946,1.0,0.698,PerfectMatch
Q302,Q302_R30,0.773,88,0.962,0.963,0.669,Relevant
Q302,Q302_R46,0.906,154,0.93,0.984,0.557,Irrelevant
Q302,Q302_R58,0.887,77,0.934,0.988,0.602,Relevant
Q302,Q302_R74,0.902,160,0.952,0.968,0.734,Relevant
Q302,Q302_R79,0.85,97,0.955,0.987,0.628,Relevant
Q303,Q303_R7,0.877,94,0.967,1.0,0.737,PerfectMatch
Q303,Q303_R14,0.827,225,0.97,0.982,0.69,Relevant
Q303,Q303_R20,0.87,44,0.95,0.96,0.646,Irrelevant
Q303,Q303_R23,0.841,29,0.941,0.981,0.656,Irrelevant
Q303,Q303_R35,0.976,73,0.887,1.0,0.374,Irrelevant
Q303,Q303_R36,0.878,72,0.939,0.979,0.614,Irrelevant
Q303,Q303_R38,0.855,148,0.944,1.0,0.479,Irrelevant
Q303,Q303_R39,0.857,21,0.948,1.0,0.542,Irrelevant
Q303,Q303_R45,0.922,74,0.92,1.0,0.295,Irrelevant
Q304,Q304_R4,0.828,153,0.971,0.976,0.619,Irrelevant
Q304,Q304_R11,0.845,2,0.973,0.991,0.595,Relevant
Q304,Q304_R13,0.84,20,0.962,0.981,0.593,Irrelevant
Q304,Q304_R14,0.818,49,0.972,0.975,0.69,Relevant
Q304,Q304_R17,0.952,140,0.904,0.986,0.162,Irrelevant
Q304,Q304_R18,0.904,66,0.951,0.992,0.502,Irrelevant
Q304,Q304_R19,0.851,27,0.963,0.973,0.466,Irrelevant
Q304,Q304_R26,0.868,56,0.963,0.992,0.633,Relevant
Q304,Q304_R29,0.897,56,0.941,0.99,0.452,Irrelevant
Q304,Q304_R32,0.855,40,0.969,0.958,0.575,Irrelevant
Q305,Q305_R8,0.908,89,0.946,1.0,0.111,Irrelevant
Q305,Q305_R11,0.909,82,0.962,1.0,0.394,Irrelevant
Q305,Q305_R22,0.918,132,0.952,1.0,0.359,Irrelevant
Q305,Q305_R27,0.863,62,0.944,1.0,0.237,Irrelevant
Q305,Q305_R30,0.944,140,0.814,1.0,0.088,Irrelevant
Q305,Q305_R46,0.922,172,0.94,1.0,0.157,Irrelevant
Q305,Q305_R48,0.968,121,0.929,1.0,0.31,Irrelevant
Q305,Q305_R55,0.92,172,0.934,0.992,0.101,Irrelevant
Q305,Q305_R56,0.919,132,0.882,1.0,-0.067,Irrelevant
Q305,Q305_R59,0.976,6,0.952,1.0,0.25,Irrelevant
Q306,Q306_R3,0.877,176,0.926,1.0,0.577,Relevant
Q306,Q306_R9,0.764,11,0.963,0.986,0.67,Relevant
Q306,Q306_R11,0.774,130,0.985,0.968,0.772,Relevant
Q306,Q306_R17,0.766,31,0.968,0.971,0.645,Irrelevant
Q306,Q306_R20,0.853,32,0.975,1.0,0.805,PerfectMatch
Q306,Q306_R47,0.854,9,0.954,1.0,0.477,Irrelevant
Q306,Q306_R54,0.815,20,0.973,0.985,0.523,Irrelevant
Q306,Q306_R57,0.853,76,0.957,0.986,0.533,Irrelevant
Q306,Q306_R58,0.863,119,0.887,1.0,0.417,Relevant
Q306,Q306_R72,0.914,236,0.931,1.0,0.395,Relevant
Q307,Q307_R3,1.0,25,0.824,1.0,0.395,Relevant
Q307,Q307_R5,0.953,336,0.897,1.0,0.47,Irrelevant
Q307,Q307_R7,0.924,314,0.894,0.989,0.498,Irrelevant
Q307,Q307_R9,0.954,317,0.869,1.0,0.387,Irrelevant
Q307,Q307_R12,0.938,378,0.883,1.0,0.38,Irrelevant
