question_id,related_comment_id,jaccard_distance,length_difference,cosine_similarity,bigram_similarity,w2v_cosine_similarity,relevance
Q269,Q269_R10_C4,1.0,24,0.882,1.0,0.248,Bad
Q269,Q269_R10_C5,0.912,57,0.897,1.0,0.368,Bad
Q269,Q269_R10_C6,1.0,37,0.843,1.0,0.402,PotentiallyUseful
Q269,Q269_R10_C7,0.966,20,0.873,1.0,0.241,Bad
Q269,Q269_R10_C8,1.0,52,0.222,1.0,-0.143,Good
Q269,Q269_R10_C9,0.929,48,0.836,1.0,0.291,Bad
Q269,Q269_R10_C10,0.885,28,0.903,1.0,0.427,Bad
Q269,Q269_R20_C1,0.882,73,0.895,0.975,0.346,Bad
Q269,Q269_R20_C2,1.0,26,0.684,1.0,-0.12,Bad
Q269,Q269_R20_C3,1.0,4,0.786,1.0,-0.068,Bad
Q269,Q269_R20_C4,0.935,261,0.878,1.0,0.168,Bad
Q269,Q269_R20_C5,1.0,39,0.52,1.0,-0.005,Bad
Q269,Q269_R20_C6,0.97,39,0.827,1.0,0.143,PotentiallyUseful
Q269,Q269_R20_C7,0.964,28,0.844,1.0,0.185,PotentiallyUseful
Q269,Q269_R20_C8,0.889,25,0.897,1.0,0.193,PotentiallyUseful
Q269,Q269_R20_C9,1.0,28,0.716,1.0,0.077,Bad
Q269,Q269_R20_C10,0.96,19,0.776,1.0,0.049,PotentiallyUseful
Q269,Q269_R26_C1,0.96,29,0.836,1.0,0.254,Good
Q269,Q269_R26_C2,0.915,163,0.935,0.983,0.411,Bad
Q269,Q269_R26_C3,1.0,53,0.463,1.0,0.201,Good
Q269,Q269_R26_C4,0.917,187,0.927,0.985,0.374,Good
Q269,Q269_R26_C5,0.941,71,0.876,1.0,0.059,Good
Q269,Q269_R26_C6,0.941,241,0.934,1.0,0.296,PotentiallyUseful
Q269,Q269_R26_C7,0.971,63,0.846,1.0,-0.042,Good
Q269,Q269_R26_C8,0.941,27,0.74,1.0,0.099,Bad
Q269,Q269_R26_C9,0.893,43,0.914,1.0,0.32,Bad
Q269,Q269_R26_C10,0.972,56,0.873,1.0,0.327,Bad
Q269,Q269_R27_C1,0.953,238,0.747,1.0,0.105,Bad
Q269,Q269_R27_C2,0.963,17,0.834,1.0,0.298,Bad
Q269,Q269_R27_C3,0.923,284,0.76,1.0,0.082,PotentiallyUseful
Q269,Q269_R27_C4,0.952,8,0.847,1.0,0.29,Bad
Q269,Q269_R27_C5,0.958,1,0.85,1.0,0.144,Bad
Q269,Q269_R27_C6,0.927,141,0.922,1.0,0.401,PotentiallyUseful
Q269,Q269_R27_C7,0.896,204,0.926,0.984,0.313,Bad
Q269,Q269_R27_C8,0.952,270,0.893,1.0,0.177,PotentiallyUseful
Q269,Q269_R27_C9,0.955,906,0.921,1.0,0.221,Good
Q269,Q269_R27_C10,0.902,210,0.939,1.0,0.493,Good
Q269,Q269_R29_C1,1.0,11,0.543,1.0,0.01,Bad
Q269,Q269_R29_C2,0.966,33,0.843,1.0,0.218,Bad
Q269,Q269_R29_C3,1.0,31,0.634,1.0,-0.023,Bad
Q269,Q269_R29_C4,1.0,22,0.826,1.0,0.203,Bad
Q269,Q269_R29_C5,1.0,26,0.817,1.0,0.201,Bad
Q269,Q269_R29_C6,0.966,33,0.861,1.0,0.079,Bad
Q269,Q269_R29_C7,0.95,16,0.87,1.0,0.166,Bad
Q269,Q269_R29_C8,1.0,29,0.72,1.0,-0.111,Bad
Q269,Q269_R29_C9,0.944,102,0.889,1.0,0.08,Bad
Q269,Q269_R29_C10,0.957,315,0.887,1.0,0.051,Bad
Q269,Q269_R38_C1,0.957,110,0.863,1.0,0.252,Bad
Q269,Q269_R38_C2,1.0,25,0.848,1.0,0.255,Bad
Q269,Q269_R38_C3,0.912,58,0.905,1.0,0.458,Bad
Q269,Q269_R38_C4,0.948,206,0.907,1.0,0.366,Bad
Q269,Q269_R38_C5,0.975,97,0.87,1.0,0.288,Bad
Q269,Q269_R38_C6,0.962,172,0.851,1.0,0.025,Bad
Q269,Q269_R38_C7,0.956,137,0.878,1.0,0.22,Bad
Q269,Q269_R38_C8,0.94,132,0.885,1.0,0.326,Bad
Q269,Q269_R38_C9,1.0,32,0.768,1.0,0.002,Bad
Q269,Q269_R38_C10,0.971,86,0.899,1.0,0.359,Bad
Q269,Q269_R40_C1,0.962,160,0.893,1.0,0.112,Bad
Q269,Q269_R40_C2,0.944,63,0.889,1.0,0.174,Bad
Q269,Q269_R40_C3,0.966,28,0.826,1.0,0.045,Bad
Q269,Q269_R40_C4,0.882,14,0.728,1.0,0.31,Bad
Q269,Q269_R40_C5,0.971,78,0.879,1.0,0.08,Bad
Q269,Q269_R40_C6,0.955,463,0.91,0.991,0.225,Bad
Q269,Q269_R40_C7,0.963,15,0.873,1.0,0.211,Bad
Q269,Q269_R40_C8,0.975,948,0.884,1.0,-0.176,Bad
Q269,Q269_R40_C9,1.0,4,0.722,1.0,0.029,Bad
Q269,Q269_R40_C10,1.0,43,0.601,1.0,0.086,Bad
Q269,Q269_R43_C1,0.952,64,0.882,1.0,0.239,Bad
Q269,Q269_R43_C2,0.889,19,0.827,0.944,0.401,Bad
Q269,Q269_R43_C3,0.92,2,0.822,1.0,0.204,Bad
Q269,Q269_R43_C4,0.972,942,0.895,1.0,-0.1,PotentiallyUseful
Q269,Q269_R43_C5,0.92,179,0.898,1.0,0.39,Bad
Q269,Q269_R43_C6,1.0,0,0.834,1.0,-0.097,Bad
Q269,Q269_R43_C7,1.0,59,0.783,1.0,-0.093,Bad
Q269,Q269_R43_C8,1.0,11,0.599,1.0,-0.157,Bad
Q269,Q269_R43_C9,1.0,25,0.591,1.0,-0.26,Bad
Q269,Q269_R43_C10,1.0,19,0.853,1.0,0.043,Bad
Q270,Q270_R37_C1,0.892,16,0.913,1.0,0.336,Good
Q270,Q270_R37_C2,0.949,37,0.689,1.0,-0.132,Good
Q270,Q270_R37_C3,1.0,87,0.0,1.0,0.16,Bad
Q270,Q270_R37_C4,0.974,67,0.732,1.0,0.023,Good
Q270,Q270_R37_C5,0.897,11,0.862,0.968,0.189,Good
Q270,Q270_R37_C6,0.968,41,0.911,1.0,0.311,Bad
Q270,Q270_R37_C7,0.946,132,0.909,1.0,0.171,Good
Q270,Q270_R37_C8,0.929,34,0.757,1.0,0.034,Good
Q270,Q270_R37_C9,0.942,264,0.903,1.0,0.26,Bad
Q270,Q270_R37_C10,0.952,78,0.589,1.0,0.012,Good
Q270,Q270_R47_C1,1.0,47,0.84,1.0,0.136,Bad
Q270,Q270_R47_C2,0.885,48,0.867,1.0,0.266,Bad
Q270,Q270_R47_C3,0.941,1,0.862,1.0,0.096,Bad
Q270,Q270_R47_C4,1.0,84,0.0,1.0,-0.246,Bad
Q270,Q270_R47_C5,0.921,45,0.923,0.978,0.466,Bad
Q270,Q270_R47_C6,1.0,63,0.834,1.0,0.267,Bad
Q270,Q270_R47_C7,0.967,24,0.878,1.0,0.435,Bad
Q270,Q270_R47_C8,0.943,7,0.87,1.0,0.405,Bad
Q270,Q270_R47_C9,0.935,457,0.942,1.0,0.319,Bad
Q270,Q270_R47_C10,0.962,53,0.847,1.0,0.222,Bad
Q270,Q270_R51_C1,0.958,63,0.811,1.0,0.145,Bad
Q270,Q270_R51_C2,0.974,38,0.824,1.0,-0.035,Good
Q270,Q270_R51_C3,0.886,11,0.942,1.0,0.517,Good
Q270,Q270_R51_C4,0.976,9,0.729,1.0,0.004,Good
Q270,Q270_R51_C5,0.925,51,0.822,0.979,0.11,Good
Q270,Q270_R51_C6,1.0,54,0.25,1.0,-0.108,Good
Q270,Q270_R51_C7,0.938,10,0.89,1.0,0.115,Bad
Q270,Q270_R51_C8,0.967,23,0.891,1.0,0.384,Bad
Q270,Q270_R51_C9,1.0,33,0.74,1.0,0.072,Bad
Q270,Q270_R51_C10,0.962,51,0.818,1.0,0.29,Bad
Q270,Q270_R54_C1,0.872,40,0.943,1.0,0.457,Good
Q270,Q270_R54_C2,0.921,90,0.86,1.0,0.112,Bad
Q270,Q270_R54_C3,0.935,90,0.885,1.0,-0.081,Bad
Q270,Q270_R54_C4,1.0,24,0.547,1.0,-0.105,Bad
Q270,Q270_R54_C5,0.956,89,0.574,1.0,-0.2,Bad
Q270,Q270_R54_C6,1.0,36,0.795,1.0,-0.004,Bad
Q270,Q270_R54_C7,0.94,99,0.926,1.0,0.446,Bad
Q270,Q270_R54_C8,0.875,57,0.922,1.0,0.252,PotentiallyUseful
Q270,Q270_R54_C9,0.862,157,0.918,1.0,0.532,Bad
Q270,Q270_R54_C10,0.933,160,0.925,1.0,0.359,PotentiallyUseful
Q270,Q270_R58_C1,0.923,24,0.925,0.976,0.299,Bad
Q270,Q270_R58_C2,1.0,39,0.83,1.0,0.268,PotentiallyUseful
Q270,Q270_R58_C3,0.976,41,0.769,1.0,0.023,PotentiallyUseful
Q270,Q270_R58_C4,0.806,25,0.911,0.944,0.417,PotentiallyUseful
Q270,Q270_R58_C5,0.925,10,0.941,1.0,0.418,Bad
Q270,Q270_R58_C6,1.0,62,0.79,1.0,0.262,Bad
Q270,Q270_R58_C7,0.941,31,0.897,1.0,0.117,Bad
Q270,Q270_R58_C8,0.935,31,0.929,1.0,0.137,Good
Q270,Q270_R58_C9,0.889,33,0.817,1.0,0.067,Good
Q270,Q270_R58_C10,1.0,51,0.836,1.0,0.099,Bad
Q270,Q270_R62_C1,0.98,210,0.785,1.0,-0.02,Bad
Q270,Q270_R62_C2,0.939,11,0.896,1.0,0.241,Bad
Q270,Q270_R62_C3,0.957,256,0.795,1.0,0.028,PotentiallyUseful
Q270,Q270_R62_C4,1.0,36,0.861,1.0,-0.008,Bad
Q270,Q270_R62_C5,0.897,29,0.922,1.0,0.288,Bad
Q270,Q270_R62_C6,0.867,113,0.934,1.0,0.218,PotentiallyUseful
Q270,Q270_R62_C7,0.909,176,0.943,1.0,0.449,Bad
Q270,Q270_R62_C8,0.909,242,0.922,1.0,0.202,Bad
Q270,Q270_R62_C9,0.949,878,0.94,0.995,0.153,PotentiallyUseful
Q270,Q270_R62_C10,0.932,182,0.937,1.0,0.324,Bad
Q270,Q270_R64_C1,1.0,13,0.784,1.0,-0.02,Bad
Q270,Q270_R64_C2,0.98,117,0.885,1.0,0.088,Good
Q270,Q270_R64_C3,0.927,54,0.905,1.0,0.538,Bad
Q270,Q270_R64_C4,0.921,55,0.835,1.0,0.042,Bad
Q270,Q270_R64_C5,0.936,80,0.897,1.0,0.301,PotentiallyUseful
Q270,Q270_R64_C6,0.911,109,0.878,1.0,0.216,Bad
Q270,Q270_R64_C7,0.912,7,0.914,1.0,0.307,Bad
Q270,Q270_R64_C8,0.903,261,0.957,1.0,0.472,Bad
Q270,Q270_R64_C9,0.944,8,0.918,1.0,0.501,PotentiallyUseful
Q270,Q270_R64_C10,0.93,380,0.92,1.0,0.254,PotentiallyUseful
Q270,Q270_R79_C1,1.0,47,0.0,1.0,0.017,PotentiallyUseful
Q270,Q270_R79_C2,0.958,59,0.771,1.0,0.22,Good
Q270,Q270_R79_C3,0.923,49,0.879,1.0,0.41,Bad
Q270,Q270_R79_C4,0.933,29,0.837,1.0,0.045,Good
Q270,Q270_R79_C5,0.882,0,0.912,0.974,0.403,Good
Q270,Q270_R79_C6,0.938,16,0.914,1.0,0.308,Bad
Q270,Q270_R79_C7,1.0,71,0.0,1.0,0.078,Good
Q270,Q270_R79_C8,0.815,33,0.926,0.938,0.509,Bad
Q270,Q270_R79_C9,0.939,3,0.908,1.0,0.257,Good
Q270,Q270_R79_C10,0.939,3,0.908,1.0,0.257,Good
Q270,Q270_R84_C1,1.0,76,0.557,1.0,0.03,Bad
Q270,Q270_R84_C2,0.933,182,0.94,1.0,0.307,Bad
Q270,Q270_R84_C3,0.971,5,0.856,1.0,0.055,Bad
Q270,Q270_R84_C4,0.967,30,0.918,1.0,0.467,Bad
Q270,Q270_R84_C5,0.938,10,0.791,1.0,0.025,Bad
Q270,Q270_R84_C6,1.0,27,0.84,1.0,0.323,Bad
Q270,Q270_R84_C7,1.0,67,0.349,1.0,0.121,Bad
Q270,Q270_R84_C8,0.957,80,0.864,1.0,0.01,Bad
Q270,Q270_R84_C9,0.955,225,0.94,1.0,0.387,Bad
Q270,Q270_R84_C10,1.0,41,0.61,1.0,-0.096,Bad
Q270,Q270_R96_C1,0.946,36,0.804,1.0,0.164,Bad
Q270,Q270_R96_C2,0.923,482,0.945,1.0,0.344,Bad
Q270,Q270_R96_C3,0.951,20,0.943,1.0,0.461,Bad
Q270,Q270_R96_C4,0.87,145,0.947,0.985,0.417,Bad
Q270,Q270_R96_C5,0.945,140,0.941,1.0,0.328,Bad
Q270,Q270_R96_C6,1.0,36,0.825,1.0,0.215,Bad
Q270,Q270_R96_C7,1.0,69,0.645,1.0,0.085,Bad
Q270,Q270_R96_C8,0.951,28,0.883,1.0,0.412,Bad
Q270,Q270_R96_C9,0.9,12,0.927,0.97,0.374,Bad
Q270,Q270_R96_C10,1.0,22,0.766,1.0,0.171,Bad
Q271,Q271_R4_C1,0.943,0,0.911,1.0,0.215,Good
Q271,Q271_R4_C2,1.0,119,0.846,1.0,0.29,Bad
Q271,Q271_R4_C3,0.953,74,0.851,1.0,0.124,PotentiallyUseful
Q271,Q271_R4_C4,0.854,20,0.947,1.0,0.6,Bad
Q271,Q271_R4_C5,0.842,74,0.889,0.962,0.289,Bad
Q271,Q271_R4_C6,0.921,98,0.875,1.0,0.469,Good
Q271,Q271_R4_C7,0.894,72,0.938,0.989,0.311,Bad
Q271,Q271_R4_C8,0.837,28,0.951,1.0,0.506,Bad
Q271,Q271_R4_C9,0.93,55,0.927,0.982,0.424,Good
Q271,Q271_R4_C10,0.91,657,0.949,0.985,0.491,Good
Q271,Q271_R14_C1,0.978,40,0.933,1.0,0.3,Good
Q271,Q271_R14_C2,0.913,40,0.911,1.0,0.252,Bad
Q271,Q271_R14_C3,0.946,105,0.873,1.0,0.207,Bad
Q271,Q271_R14_C4,0.9,138,0.857,1.0,0.296,Bad
Q271,Q271_R14_C5,0.921,80,0.889,1.0,0.387,Bad
Q271,Q271_R14_C6,0.873,16,0.941,0.974,0.692,PotentiallyUseful
Q271,Q271_R14_C7,0.931,18,0.906,0.986,0.329,PotentiallyUseful
Q271,Q271_R14_C8,0.959,9,0.852,1.0,-0.134,Good
Q271,Q271_R14_C9,0.909,127,0.881,0.978,0.496,Bad
Q271,Q271_R14_C10,0.902,237,0.938,1.0,0.393,Bad
Q271,Q271_R24_C1,0.833,207,0.946,0.984,0.434,Bad
Q271,Q271_R24_C2,0.945,735,0.91,1.0,0.164,Bad
Q271,Q271_R24_C3,0.919,103,0.923,1.0,0.434,Bad
Q271,Q271_R24_C4,0.946,84,0.88,1.0,0.219,Bad
Q271,Q271_R24_C5,0.974,109,0.816,1.0,0.282,Bad
Q271,Q271_R24_C6,0.899,283,0.942,1.0,0.412,Bad
Q271,Q271_R24_C7,0.953,73,0.913,1.0,0.34,Bad
Q271,Q271_R24_C8,0.975,88,0.917,1.0,0.473,Bad
Q271,Q271_R24_C9,0.977,240,0.813,1.0,0.056,Bad
Q271,Q271_R24_C10,0.908,388,0.935,1.0,0.287,Bad
Q271,Q271_R38_C1,0.911,137,0.923,1.0,0.523,Bad
Q271,Q271_R38_C2,0.839,108,0.947,0.978,0.568,Bad
Q271,Q271_R38_C3,0.884,268,0.947,0.992,0.581,Bad
Q271,Q271_R38_C4,0.949,320,0.91,1.0,0.174,Bad
Q271,Q271_R38_C5,0.937,61,0.919,1.0,0.487,Bad
Q271,Q271_R38_C6,0.957,61,0.912,1.0,0.439,Bad
Q271,Q271_R38_C7,0.88,17,0.913,1.0,0.249,Bad
Q271,Q271_R38_C8,0.901,411,0.945,1.0,0.445,Bad
Q271,Q271_R38_C9,0.923,81,0.905,1.0,0.516,Bad
Q271,Q271_R38_C10,0.952,40,0.922,1.0,0.37,Bad
Q271,Q271_R57_C1,1.0,66,0.872,1.0,0.308,Bad
Q271,Q271_R57_C2,0.938,8,0.909,1.0,0.458,Bad
Q271,Q271_R57_C3,0.895,51,0.912,0.988,0.495,Bad
Q271,Q271_R57_C4,0.941,107,0.83,1.0,0.368,Bad
Q271,Q271_R57_C5,1.0,135,0.82,1.0,0.113,Bad
Q271,Q271_R57_C6,0.973,114,0.876,1.0,0.443,Bad
Q271,Q271_R57_C7,0.974,81,0.839,1.0,0.217,Bad
Q271,Q271_R57_C8,0.877,88,0.948,0.977,0.563,Bad
Q271,Q271_R57_C9,0.967,142,0.791,1.0,0.333,Bad
Q271,Q271_R57_C10,0.914,300,0.937,0.976,0.344,Bad
Q271,Q271_R59_C1,0.949,847,0.906,1.0,0.064,Bad
Q271,Q271_R59_C2,0.941,116,0.772,1.0,0.336,Bad
Q271,Q271_R59_C3,0.882,356,0.949,0.986,0.551,Bad
Q271,Q271_R59_C4,0.955,46,0.895,1.0,0.149,Bad
Q271,Q271_R59_C5,1.0,82,0.866,1.0,0.307,Bad
Q271,Q271_R59_C6,0.94,47,0.887,1.0,0.256,Bad
Q271,Q271_R59_C7,0.9,167,0.899,1.0,0.198,Bad
Q271,Q271_R59_C8,0.9,167,0.899,1.0,0.198,Bad
Q271,Q271_R59_C9,0.9,167,0.899,1.0,0.198,Bad
Q271,Q271_R59_C10,0.936,688,0.941,0.995,0.414,Bad
Q271,Q271_R63_C1,0.906,145,0.943,1.0,0.264,Bad
Q271,Q271_R63_C2,1.0,88,0.888,1.0,0.36,Bad
Q271,Q271_R63_C3,0.94,14,0.901,1.0,0.279,Bad
Q271,Q271_R63_C4,0.941,151,0.93,1.0,0.392,Bad
Q271,Q271_R63_C5,0.902,88,0.932,0.978,0.469,Bad
Q271,Q271_R63_C6,0.875,71,0.891,0.982,0.337,Bad
Q271,Q271_R63_C7,0.977,52,0.895,1.0,0.305,Bad
Q271,Q271_R63_C8,0.909,241,0.946,1.0,0.424,Bad
Q271,Q271_R63_C9,0.935,72,0.915,1.0,0.278,Bad
Q271,Q271_R63_C10,0.885,38,0.909,1.0,0.459,Bad
Q271,Q271_R70_C1,0.909,16,0.927,1.0,0.457,Bad
Q271,Q271_R70_C2,1.0,91,0.872,1.0,0.414,Bad
Q271,Q271_R70_C3,0.917,4,0.924,1.0,0.389,Bad
Q271,Q271_R70_C4,0.956,68,0.798,1.0,0.145,Bad
Q271,Q271_R70_C5,1.0,95,0.867,1.0,-0.025,Bad
Q271,Q271_R70_C6,0.944,80,0.929,1.0,0.538,Good
Q271,Q271_R70_C7,0.974,103,0.892,1.0,0.272,Bad
