id,question1_id,question2_id,jaccard_distance,length_difference,cosine_similarity,relevance
59,Q273,Q273_R76,0.899,73,0.751,0
60,Q274,Q274_R1,0.8,214,0.86,1
61,Q274,Q274_R3,0.818,123,0.85,1
62,Q274,Q274_R7,0.895,255,0.743,1
63,Q274,Q274_R12,0.889,294,0.786,0
64,Q274,Q274_R20,0.885,159,0.828,0
65,Q274,Q274_R41,0.886,203,0.813,1
66,Q274,Q274_R56,0.856,101,0.845,1
67,Q274,Q274_R60,0.889,225,0.841,0
68,Q274,Q274_R61,0.819,91,0.852,0
69,Q274,Q274_R68,0.933,320,0.573,1
70,Q275,Q275_R9,0.912,160,0.669,0
71,Q275,Q275_R15,0.923,140,0.626,1
72,Q275,Q275_R16,0.905,50,0.67,1
73,Q275,Q275_R24,0.851,19,0.682,0
74,Q275,Q275_R27,0.971,143,0.536,1
75,Q275,Q275_R32,0.889,54,0.645,0
76,Q275,Q275_R34,0.898,178,0.675,1
77,Q275,Q275_R38,0.918,261,0.533,1
78,Q275,Q275_R44,0.961,222,0.399,0
79,Q275,Q275_R48,0.909,3,0.72,1
80,Q276,Q276_R6,0.881,146,0.832,0
81,Q276,Q276_R8,0.889,164,0.697,0
82,Q276,Q276_R11,0.857,34,0.847,0
83,Q276,Q276_R18,0.917,171,0.766,0
84,Q276,Q276_R24,0.868,136,0.829,0
85,Q276,Q276_R26,0.958,220,0.682,0
86,Q276,Q276_R27,0.878,12,0.853,0
87,Q276,Q276_R32,0.911,132,0.851,0
88,Q276,Q276_R36,0.968,96,0.666,0
89,Q276,Q276_R37,0.955,238,0.613,0
90,Q277,Q277_R4,0.88,168,0.735,1
91,Q277,Q277_R5,0.906,136,0.794,1
92,Q277,Q277_R7,0.804,101,0.68,1
93,Q277,Q277_R13,0.868,32,0.737,1
94,Q277,Q277_R17,0.783,8,0.839,1
95,Q277,Q277_R19,0.935,60,0.647,1
96,Q277,Q277_R21,0.898,193,0.774,0
97,Q277,Q277_R25,0.877,64,0.854,0
98,Q277,Q277_R27,0.86,214,0.661,0
99,Q277,Q277_R33,0.852,26,0.694,0
100,Q278,Q278_R7,0.913,79,0.847,1
101,Q278,Q278_R14,0.892,233,0.836,1
102,Q278,Q278_R17,0.882,65,0.847,0
103,Q278,Q278_R28,0.898,153,0.727,0
104,Q278,Q278_R34,0.904,7,0.696,0
105,Q278,Q278_R37,0.944,28,0.796,0
106,Q278,Q278_R41,0.911,150,0.802,0
107,Q278,Q278_R45,0.929,162,0.585,0
108,Q278,Q278_R48,0.895,183,0.885,0
109,Q278,Q278_R52,0.952,120,0.728,0
110,Q279,Q279_R5,0.939,199,0.502,1
111,Q279,Q279_R6,0.906,86,0.744,1
112,Q279,Q279_R8,0.883,198,0.737,1
113,Q279,Q279_R10,0.907,81,0.598,1
114,Q279,Q279_R18,0.926,214,0.63,0
115,Q279,Q279_R27,0.906,122,0.58,1
116,Q279,Q279_R28,0.979,74,0.679,1
117,Q279,Q279_R30,0.941,356,0.592,0
118,Q279,Q279_R33,0.943,309,0.572,0
119,Q279,Q279_R36,0.94,205,0.665,0
120,Q280,Q280_R5,0.87,18,0.807,1
121,Q280,Q280_R11,0.846,83,0.789,1
122,Q280,Q280_R19,0.878,61,0.72,0
123,Q280,Q280_R21,0.941,91,0.677,1
124,Q280,Q280_R39,0.873,83,0.771,0
125,Q280,Q280_R41,0.932,77,0.391,0
126,Q280,Q280_R45,0.92,211,0.76,0
127,Q280,Q280_R46,0.902,36,0.719,0
128,Q280,Q280_R48,0.9,134,0.815,0
129,Q280,Q280_R67,0.897,33,0.676,0
130,Q281,Q281_R32,0.921,83,0.81,1
131,Q281,Q281_R37,0.856,135,0.85,0
132,Q281,Q281_R38,0.909,77,0.833,1
133,Q281,Q281_R40,0.899,156,0.872,0
134,Q281,Q281_R45,0.88,14,0.787,0
135,Q281,Q281_R49,0.935,185,0.634,0
136,Q281,Q281_R56,0.933,203,0.479,0
137,Q281,Q281_R58,0.909,30,0.735,0
138,Q281,Q281_R59,0.936,29,0.79,0
139,Q281,Q281_R61,0.874,210,0.828,0
140,Q282,Q282_R6,0.821,119,0.738,0
141,Q282,Q282_R9,0.861,0,0.848,1
142,Q282,Q282_R12,0.795,3,0.881,1
143,Q282,Q282_R14,0.797,4,0.781,1
144,Q282,Q282_R16,0.95,116,0.615,0
145,Q282,Q282_R17,0.774,61,0.743,1
146,Q282,Q282_R18,0.829,42,0.779,1
147,Q282,Q282_R35,0.869,116,0.806,0
148,Q282,Q282_R36,0.805,35,0.854,0
149,Q282,Q282_R38,0.862,121,0.735,0
150,Q283,Q283_R7,0.897,46,0.727,1
151,Q283,Q283_R9,0.991,150,0.784,1
152,Q283,Q283_R12,0.895,133,0.797,1
153,Q283,Q283_R25,0.911,19,0.54,0
154,Q283,Q283_R26,0.865,144,0.468,0
155,Q283,Q283_R31,0.938,92,0.579,0
156,Q283,Q283_R35,0.943,182,0.569,0
157,Q283,Q283_R36,0.91,56,0.775,0
158,Q283,Q283_R39,0.892,134,0.436,0
159,Q283,Q283_R52,0.887,6,0.698,0
160,Q284,Q284_R8,0.885,178,0.89,0
161,Q284,Q284_R29,0.889,206,0.523,0
162,Q284,Q284_R33,0.875,22,0.741,0
163,Q284,Q284_R38,0.908,201,0.75,0
164,Q284,Q284_R44,0.925,195,0.556,0
165,Q284,Q284_R51,0.897,148,0.756,0
166,Q284,Q284_R59,0.937,236,0.651,0
167,Q284,Q284_R63,0.826,41,0.859,0
168,Q284,Q284_R66,0.895,112,0.762,0
169,Q284,Q284_R69,0.887,54,0.825,0
170,Q285,Q285_R4,0.938,293,0.506,1
171,Q285,Q285_R7,0.94,301,0.602,0
172,Q285,Q285_R8,0.981,153,0.456,0
173,Q285,Q285_R12,0.909,211,0.638,0
174,Q285,Q285_R20,0.951,88,0.779,0
175,Q285,Q285_R25,0.93,360,0.728,0
176,Q285,Q285_R26,0.98,168,0.543,0
177,Q285,Q285_R33,0.953,98,0.188,0
178,Q285,Q285_R36,0.923,133,0.643,0
179,Q285,Q285_R37,0.948,280,0.596,0
180,Q286,Q286_R1,0.788,162,0.716,1
181,Q286,Q286_R8,0.877,191,0.862,1
182,Q286,Q286_R13,0.776,83,0.871,1
183,Q286,Q286_R21,0.808,31,0.812,1
184,Q286,Q286_R25,0.875,92,0.797,1
185,Q286,Q286_R31,0.857,26,0.693,0
186,Q286,Q286_R36,0.916,329,0.73,0
187,Q286,Q286_R39,0.854,22,0.787,0
188,Q286,Q286_R49,0.808,269,0.835,1
189,Q286,Q286_R52,0.896,164,0.729,0
190,Q287,Q287_R6,0.896,116,0.604,1
191,Q287,Q287_R10,0.904,154,0.839,1
192,Q287,Q287_R11,0.873,43,0.82,0
193,Q287,Q287_R12,0.849,112,0.622,1
194,Q287,Q287_R13,0.838,20,0.754,1
195,Q287,Q287_R14,0.923,117,0.568,0
196,Q287,Q287_R19,0.898,77,0.728,1
197,Q287,Q287_R20,0.93,114,0.66,0
198,Q287,Q287_R22,0.957,7,0.685,1
199,Q287,Q287_R23,0.944,136,0.742,0
200,Q288,Q288_R2,0.839,96,0.77,1
201,Q288,Q288_R3,0.818,16,0.753,1
202,Q288,Q288_R13,0.821,8,0.731,1
203,Q288,Q288_R18,0.893,70,0.619,1
204,Q288,Q288_R20,0.906,286,0.802,1
205,Q288,Q288_R30,0.885,134,0.74,0
206,Q288,Q288_R39,0.877,288,0.78,0
207,Q288,Q288_R49,0.891,50,0.745,0
208,Q288,Q288_R54,0.882,145,0.746,1
209,Q288,Q288_R61,0.873,76,0.722,0
210,Q289,Q289_R3,0.878,253,0.875,0
211,Q289,Q289_R5,0.807,181,0.894,1
212,Q289,Q289_R6,0.885,216,0.807,1
213,Q289,Q289_R13,0.905,318,0.823,1
214,Q289,Q289_R14,0.885,24,0.766,0
215,Q289,Q289_R22,0.941,233,0.824,1
216,Q289,Q289_R26,0.957,12,0.597,0
217,Q289,Q289_R30,0.894,109,0.878,0
218,Q289,Q289_R31,0.921,70,0.704,0
219,Q289,Q289_R35,0.919,62,0.477,1
220,Q290,Q290_R4,0.899,119,0.751,0
221,Q290,Q290_R11,0.9,29,0.726,1
222,Q290,Q290_R12,0.915,101,0.477,1
223,Q290,Q290_R14,0.868,227,0.751,1
224,Q290,Q290_R16,0.944,2,0.618,1
225,Q290,Q290_R19,0.87,72,0.785,0
226,Q290,Q290_R21,0.926,100,0.542,0
227,Q290,Q290_R23,0.932,79,0.659,1
228,Q290,Q290_R28,0.905,35,0.539,0
229,Q290,Q290_R32,0.893,126,0.608,1
230,Q291,Q291_R6,0.887,22,0.87,1
231,Q291,Q291_R8,0.897,223,0.822,1
232,Q291,Q291_R13,0.828,199,0.808,0
233,Q291,Q291_R21,0.863,20,0.88,0
234,Q291,Q291_R28,0.882,13,0.734,0
235,Q291,Q291_R34,0.872,271,0.832,1
236,Q291,Q291_R35,0.889,230,0.723,1
237,Q291,Q291_R36,0.883,3,0.808,0
238,Q291,Q291_R41,0.899,306,0.735,0
239,Q291,Q291_R45,0.839,139,0.854,0
240,Q292,Q292_R7,0.883,155,0.817,0
241,Q292,Q292_R9,0.865,19,0.811,1
242,Q292,Q292_R10,0.917,96,0.753,1
243,Q292,Q292_R16,0.852,35,0.808,0
244,Q292,Q292_R19,0.861,120,0.829,1
245,Q292,Q292_R37,0.833,29,0.768,0
246,Q292,Q292_R39,0.932,53,0.705,0
247,Q292,Q292_R44,0.896,168,0.822,0
248,Q292,Q292_R49,0.923,165,0.802,0
249,Q292,Q292_R51,0.863,0,0.663,0
250,Q293,Q293_R3,0.833,91,0.879,1
251,Q293,Q293_R10,0.827,60,0.725,1
252,Q293,Q293_R12,0.907,10,0.657,1
253,Q293,Q293_R26,0.918,35,0.847,0
254,Q293,Q293_R28,0.907,178,0.728,0
255,Q293,Q293_R29,0.851,15,0.762,0
256,Q293,Q293_R32,0.877,21,0.767,1
257,Q293,Q293_R51,0.855,74,0.721,1
258,Q293,Q293_R58,0.896,7,0.716,0
259,Q293,Q293_R60,0.941,26,0.81,0
260,Q294,Q294_R2,0.784,120,0.698,1
261,Q294,Q294_R12,0.921,96,0.699,0
262,Q294,Q294_R13,0.878,157,0.736,0
263,Q294,Q294_R24,0.939,195,0.684,0
264,Q294,Q294_R26,0.857,263,0.692,0
265,Q294,Q294_R46,0.897,279,0.681,1
266,Q294,Q294_R47,0.873,313,0.761,1
267,Q294,Q294_R86,0.929,287,0.716,1
268,Q294,Q294_R94,0.932,315,0.717,1
269,Q294,Q294_R98,0.918,303,0.687,0
270,Q295,Q295_R17,0.871,17,0.742,0
271,Q295,Q295_R28,0.92,157,0.756,0
272,Q295,Q295_R31,0.899,17,0.723,0
273,Q295,Q295_R32,0.9,208,0.759,0
274,Q295,Q295_R38,0.936,139,0.584,0
275,Q295,Q295_R40,0.922,24,0.686,0
276,Q295,Q295_R42,0.877,5,0.729,0
277,Q295,Q295_R50,0.925,82,0.702,0
278,Q295,Q295_R61,0.926,34,0.734,0
279,Q295,Q295_R63,0.978,238,0.603,0
280,Q296,Q296_R17,0.865,20,0.763,1
281,Q296,Q296_R21,0.821,179,0.691,1
282,Q296,Q296_R22,0.846,111,0.672,1
283,Q296,Q296_R26,0.92,372,0.757,1
284,Q296,Q296_R27,0.879,138,0.673,1
285,Q296,Q296_R45,0.928,237,0.695,0
286,Q296,Q296_R50,0.873,262,0.725,1
287,Q296,Q296_R51,0.866,256,0.745,1
288,Q296,Q296_R52,0.881,253,0.667,0
289,Q296,Q296_R54,0.889,112,0.736,1
290,Q297,Q297_R1,0.868,48,0.724,1
291,Q297,Q297_R17,0.875,187,0.734,0
292,Q297,Q297_R22,0.848,155,0.772,0
293,Q297,Q297_R31,0.892,226,0.756,0
294,Q297,Q297_R32,0.917,78,0.342,0
295,Q297,Q297_R33,0.885,76,0.723,0
296,Q297,Q297_R39,0.893,180,0.827,0
297,Q297,Q297_R43,0.885,58,0.675,0
298,Q297,Q297_R48,0.955,71,0.374,0
299,Q297,Q297_R56,0.836,152,0.826,0
300,Q298,Q298_R5,0.893,30,0.749,0
301,Q298,Q298_R7,0.96,388,0.593,0
302,Q298,Q298_R20,0.933,260,0.735,0
303,Q298,Q298_R32,0.899,213,0.799,0
304,Q298,Q298_R45,0.902,71,0.829,0
305,Q298,Q298_R47,0.888,30,0.717,0
306,Q298,Q298_R48,0.946,267,0.702,0
307,Q298,Q298_R53,0.929,7,0.718,0
308,Q298,Q298_R54,0.926,239,0.752,0
309,Q298,Q298_R62,0.966,288,0.666,0
310,Q299,Q299_R4,0.722,11,0.754,1
311,Q299,Q299_R5,0.861,109,0.813,1
312,Q299,Q299_R6,0.95,18,0.579,0
313,Q299,Q299_R8,0.951,128,0.677,0
314,Q299,Q299_R15,0.909,302,0.693,1
315,Q299,Q299_R18,0.84,48,0.684,1
316,Q299,Q299_R23,0.935,455,0.705,1
317,Q299,Q299_R37,0.931,357,0.703,0
318,Q299,Q299_R38,0.941,215,0.618,0
319,Q299,Q299_R40,0.909,94,0.662,0
320,Q300,Q300_R18,0.957,270,0.575,0
321,Q300,Q300_R23,0.926,303,0.636,0
322,Q300,Q300_R30,0.962,340,0.629,0
323,Q300,Q300_R37,0.964,83,0.666,0
324,Q300,Q300_R41,0.925,28,0.6,0
325,Q300,Q300_R49,0.905,23,0.616,1
326,Q300,Q300_R50,0.958,212,0.67,0
327,Q300,Q300_R54,0.957,212,0.67,0
328,Q300,Q300_R55,0.928,208,0.617,0
329,Q300,Q300_R56,0.924,285,0.641,1
330,Q301,Q301_R2,0.868,117,0.642,1
331,Q301,Q301_R5,0.897,132,0.681,1
332,Q301,Q301_R22,0.962,9,0.384,0
333,Q301,Q301_R27,0.935,104,0.563,0
334,Q301,Q301_R36,0.957,272,0.619,0
335,Q301,Q301_R39,0.944,197,0.725,0
336,Q301,Q301_R40,0.938,33,0.446,0
337,Q301,Q301_R48,0.958,31,0.54,0
338,Q301,Q301_R64,0.97,233,0.564,0
339,Q301,Q301_R70,0.905,43,0.418,0
340,Q302,Q302_R9,0.885,62,0.836,1
341,Q302,Q302_R12,0.787,152,0.844,0
342,Q302,Q302_R13,0.848,25,0.811,1
343,Q302,Q302_R16,0.918,31,0.807,0
344,Q302,Q302_R21,0.921,120,0.553,1
345,Q302,Q302_R30,0.776,82,0.772,1
346,Q302,Q302_R46,0.891,151,0.684,0
347,Q302,Q302_R58,0.877,75,0.769,1
348,Q302,Q302_R74,0.882,117,0.775,1
349,Q302,Q302_R79,0.857,100,0.789,1
350,Q303,Q303_R7,0.843,129,0.837,1
351,Q303,Q303_R14,0.823,241,0.859,1
352,Q303,Q303_R20,0.878,41,0.817,0
353,Q303,Q303_R23,0.783,21,0.781,0
354,Q303,Q303_R35,0.955,55,0.744,0
355,Q303,Q303_R36,0.867,56,0.693,0
356,Q303,Q303_R38,0.846,150,0.797,0
357,Q303,Q303_R39,0.843,30,0.815,0
358,Q303,Q303_R44,0.857,116,0.533,0
359,Q303,Q303_R45,0.909,87,0.798,0
360,Q304,Q304_R4,0.817,149,0.876,0
361,Q304,Q304_R11,0.859,3,0.848,1
362,Q304,Q304_R13,0.841,10,0.876,0
363,Q304,Q304_R14,0.832,54,0.814,1
364,Q304,Q304_R17,0.929,146,0.728,0
365,Q304,Q304_R18,0.91,52,0.756,0
366,Q304,Q304_R19,0.862,16,0.903,0
367,Q304,Q304_R26,0.844,69,0.868,1
368,Q304,Q304_R29,0.889,55,0.833,0
369,Q304,Q304_R32,0.859,45,0.85,0
370,Q305,Q305_R8,0.914,104,0.752,0
371,Q305,Q305_R11,0.899,74,0.85,0
372,Q305,Q305_R22,0.908,136,0.683,0
373,Q305,Q305_R27,0.868,54,0.831,0
374,Q305,Q305_R30,0.931,148,0.604,0
375,Q305,Q305_R46,0.926,179,0.833,0
376,Q305,Q305_R48,0.941,116,0.673,0
377,Q305,Q305_R55,0.91,185,0.73,0
378,Q305,Q305_R56,0.914,132,0.664,0
379,Q305,Q305_R59,0.965,19,0.573,0
380,Q306,Q306_R3,0.872,180,0.749,1
381,Q306,Q306_R9,0.781,19,0.865,1
382,Q306,Q306_R11,0.776,123,0.932,1
383,Q306,Q306_R17,0.777,46,0.898,0
384,Q306,Q306_R20,0.85,41,0.869,1
385,Q306,Q306_R47,0.864,13,0.851,0
386,Q306,Q306_R54,0.825,24,0.895,0
387,Q306,Q306_R57,0.864,99,0.821,0
388,Q306,Q306_R58,0.857,135,0.774,1
389,Q306,Q306_R72,0.908,240,0.813,1
390,Q307,Q307_R3,0.92,19,0.542,1
391,Q307,Q307_R5,0.955,332,0.371,0
392,Q307,Q307_R7,0.925,297,0.519,0
393,Q307,Q307_R9,0.958,336,0.453,0
394,Q307,Q307_R12,0.941,373,0.513,0
395,Q307,Q307_R15,0.943,328,0.428,0
396,Q307,Q307_R23,0.938,278,0.555,0
397,Q307,Q307_R35,0.948,341,0.42,0
398,Q307,Q307_R36,0.932,85,0.509,0
399,Q307,Q307_R45,0.943,306,0.527,0
400,Q308,Q308_R14,0.904,0,0.831,0
401,Q308,Q308_R17,0.856,75,0.792,0
402,Q308,Q308_R22,0.91,174,0.672,0
403,Q308,Q308_R23,0.835,68,0.793,0
404,Q308,Q308_R27,0.867,79,0.815,0
405,Q308,Q308_R32,0.921,131,0.784,0
406,Q308,Q308_R40,0.883,212,0.736,0
407,Q308,Q308_R41,0.893,93,0.667,0
408,Q308,Q308_R48,0.849,111,0.657,0
409,Q308,Q308_R53,0.876,105,0.719,0
410,Q309,Q309_R1,0.763,146,0.814,1
411,Q309,Q309_R4,0.833,273,0.792,1
412,Q309,Q309_R9,0.768,21,0.819,1
413,Q309,Q309_R11,0.87,46,0.749,1
414,Q309,Q309_R12,0.788,266,0.793,1
415,Q309,Q309_R19,0.838,100,0.833,1
416,Q309,Q309_R23,0.783,22,0.834,1
417,Q309,Q309_R26,0.827,142,0.774,1
418,Q309,Q309_R29,0.759,24,0.775,1
419,Q309,Q309_R61,0.835,117,0.643,1
420,Q310,Q310_R14,0.851,133,0.825,1
421,Q310,Q310_R22,0.86,34,0.65,1
422,Q310,Q310_R23,0.831,124,0.773,1
423,Q310,Q310_R33,0.857,285,0.839,1
424,Q310,Q310_R35,0.812,102,0.867,1
425,Q310,Q310_R37,0.831,4,0.809,1
426,Q310,Q310_R45,0.866,50,0.825,1
427,Q310,Q310_R52,0.807,220,0.814,1
428,Q310,Q310_R60,0.839,46,0.788,1
429,Q310,Q310_R78,0.755,43,0.793,0
430,Q311,Q311_R7,0.815,235,0.741,1
431,Q311,Q311_R9,0.8,158,0.8,1
432,Q311,Q311_R24,0.776,194,0.853,1
433,Q311,Q311_R31,0.941,246,0.74,1
434,Q311,Q311_R37,0.904,251,0.728,0
435,Q311,Q311_R48,0.771,30,0.829,1
436,Q311,Q311_R49,0.848,266,0.743,0
437,Q311,Q311_R51,0.859,172,0.838,1
438,Q311,Q311_R60,0.765,50,0.737,1
439,Q311,Q311_R61,0.738,24,0.262,1
440,Q312,Q312_R6,0.838,78,0.817,1
441,Q312,Q312_R13,0.883,58,0.834,1
442,Q312,Q312_R19,0.875,75,0.847,1
443,Q312,Q312_R31,0.849,30,0.857,1
444,Q312,Q312_R37,0.837,61,0.842,1
445,Q312,Q312_R42,0.919,111,0.759,1
446,Q312,Q312_R47,0.89,130,0.85,1
447,Q312,Q312_R51,0.98,12,0.539,0
448,Q312,Q312_R57,0.904,132,0.719,0
449,Q312,Q312_R60,0.851,152,0.801,1
450,Q313,Q313_R4,0.852,84,0.783,0
451,Q313,Q313_R6,0.863,8,0.717,0
452,Q313,Q313_R9,0.891,11,0.775,0
453,Q313,Q313_R10,0.887,19,0.774,0
454,Q313,Q313_R30,0.739,3,0.825,0
455,Q313,Q313_R37,0.845,197,0.76,0
456,Q313,Q313_R41,0.887,115,0.722,0
457,Q313,Q313_R43,0.825,74,0.738,0
458,Q313,Q313_R48,0.87,8,0.723,0
459,Q313,Q313_R50,0.873,142,0.83,0
460,Q314,Q314_R2,0.8,15,0.761,1
461,Q314,Q314_R4,0.862,45,0.593,0
462,Q314,Q314_R5,0.938,365,0.72,0
463,Q314,Q314_R11,0.92,394,0.634,0
464,Q314,Q314_R17,0.905,99,0.678,1
465,Q314,Q314_R18,0.94,195,0.636,0
466,Q314,Q314_R21,0.891,134,0.526,0
467,Q314,Q314_R22,0.902,138,0.49,0
468,Q314,Q314_R25,0.938,345,0.604,0
469,Q314,Q314_R28,0.925,281,0.634,0
470,Q315,Q315_R21,0.903,410,0.525,0
471,Q315,Q315_R27,0.938,223,0.468,0
472,Q315,Q315_R35,0.931,364,0.273,0
473,Q315,Q315_R36,0.875,72,0.675,0
474,Q315,Q315_R43,0.962,426,0.359,0
475,Q315,Q315_R44,0.792,63,0.58,1
476,Q315,Q315_R45,0.942,445,0.49,0
477,Q315,Q315_R46,0.951,369,0.441,0
478,Q315,Q315_R47,0.892,135,0.608,1
479,Q315,Q315_R48,0.967,278,0.392,0
480,Q316,Q316_R2,0.857,257,0.812,1
481,Q316,Q316_R3,0.891,144,0.794,1
482,Q316,Q316_R8,0.944,284,0.635,1
483,Q316,Q316_R10,0.856,4,0.846,1
484,Q316,Q316_R15,0.882,159,0.704,1
485,Q316,Q316_R17,0.925,323,0.602,0
486,Q316,Q316_R20,0.897,300,0.617,1
487,Q316,Q316_R25,0.917,126,0.68,0
488,Q316,Q316_R31,0.905,245,0.431,1
489,Q316,Q316_R34,0.938,223,0.546,0
490,Q317,Q317_R2,0.857,39,0.692,1
491,Q317,Q317_R4,0.903,231,0.785,1
492,Q317,Q317_R8,0.837,153,0.743,1
493,Q317,Q317_R9,0.862,182,0.79,0
494,Q317,Q317_R10,0.892,268,0.697,1
495,Q317,Q317_R12,0.914,259,0.748,1
496,Q317,Q317_R16,0.9,352,0.785,0
497,Q317,Q317_R19,0.911,202,0.426,0
498,Q317,Q317_R21,0.911,161,0.757,1
499,Q317,Q317_R23,0.86,108,0.785,0
500,Q1,Q1_R1,0.762,23,0.831,1
501,Q1,Q1_R6,0.851,200,0.791,1
502,Q1,Q1_R8,0.889,164,0.645,0
503,Q1,Q1_R10,0.872,133,0.738,1
504,Q1,Q1_R22,0.867,0,0.39,0
505,Q1,Q1_R25,0.947,191,0.69,0
506,Q1,Q1_R27,0.905,5,0.503,0
507,Q1,Q1_R32,0.897,66,0.676,1
508,Q1,Q1_R43,0.95,237,0.748,0
509,Q1,Q1_R46,0.886,136,0.606,0
510,Q2,Q2_R20,0.816,123,0.822,1
511,Q2,Q2_R21,0.831,36,0.809,1
512,Q2,Q2_R32,0.823,152,0.882,1
513,Q2,Q2_R46,0.807,158,0.879,1
514,Q2,Q2_R60,0.87,123,0.846,1
515,Q2,Q2_R65,0.829,169,0.793,0
516,Q2,Q2_R74,0.742,43,0.831,1
517,Q2,Q2_R80,0.828,13,0.768,0
518,Q2,Q2_R81,0.768,244,0.899,1
519,Q2,Q2_R83,0.853,48,0.754,1
520,Q3,Q3_R1,0.88,6,0.737,1
521,Q3,Q3_R13,0.944,123,0.511,1
522,Q3,Q3_R25,0.9,153,0.706,0
523,Q3,Q3_R46,0.83,22,0.657,1
524,Q3,Q3_R49,0.886,287,0.674,1
525,Q3,Q3_R60,0.889,227,0.808,0
526,Q3,Q3_R61,0.868,211,0.813,1
527,Q3,Q3_R68,0.871,88,0.768,0
528,Q3,Q3_R77,0.89,202,0.801,1
529,Q3,Q3_R79,0.91,264,0.732,0
530,Q4,Q4_R6,0.875,25,0.765,1
531,Q4,Q4_R8,0.906,337,0.828,0
532,Q4,Q4_R9,0.891,146,0.823,0
533,Q4,Q4_R11,0.955,187,0.567,0
534,Q4,Q4_R14,0.886,262,0.729,0
535,Q4,Q4_R18,0.856,113,0.829,1
536,Q4,Q4_R21,0.826,113,0.8,0
537,Q4,Q4_R23,0.872,113,0.801,0
538,Q4,Q4_R25,0.855,234,0.825,1
539,Q4,Q4_R28,0.884,166,0.766,0
540,Q5,Q5_R3,0.855,35,0.763,1
541,Q5,Q5_R4,0.879,115,0.582,1
542,Q5,Q5_R6,0.887,55,0.646,0
543,Q5,Q5_R9,0.915,199,0.725,0
544,Q5,Q5_R17,0.87,7,0.84,0
545,Q5,Q5_R44,0.874,138,0.818,0
546,Q5,Q5_R47,0.859,93,0.876,0
547,Q5,Q5_R48,0.864,89,0.577,0
548,Q5,Q5_R54,0.867,83,0.859,0
549,Q5,Q5_R55,0.906,3,0.845,0
550,Q6,Q6_R2,0.836,182,0.81,0
551,Q6,Q6_R3,0.969,239,0.733,1
552,Q6,Q6_R5,0.872,220,0.697,1
553,Q6,Q6_R6,0.839,30,0.654,1
554,Q6,Q6_R8,0.871,262,0.784,0
555,Q6,Q6_R13,0.889,43,0.767,1
556,Q6,Q6_R32,0.821,145,0.743,1
